,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,906 ktoe,0 ktoe,0 ktoe,688 ktoe,0 ktoe,54 ktoe,57 ktoe,171 ktoe,0 ktoe,0 ktoe,1876 ktoe,Production,2004
1,1857 ktoe,2977 ktoe,7247 ktoe,2960 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,135 ktoe,0 ktoe,15177 ktoe,Imports,2004
2,-19 ktoe,0 ktoe,-1297 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1316 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-150 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-150 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-688 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-688 ktoe,International aviation bunkers,2004
5,-386 ktoe,32 ktoe,-59 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-416 ktoe,Stock changes,2004
6,2358 ktoe,3009 ktoe,5054 ktoe,3645 ktoe,0 ktoe,54 ktoe,57 ktoe,171 ktoe,135 ktoe,0 ktoe,14483 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,75 ktoe,80 ktoe,190 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-13 ktoe,0 ktoe,337 ktoe,Statistical differences,2004
9,-1692 ktoe,0 ktoe,-762 ktoe,-2153 ktoe,0 ktoe,-54 ktoe,-56 ktoe,-20 ktoe,2111 ktoe,0 ktoe,-2626 ktoe,Electricity plants,2004
10,-10 ktoe,0 ktoe,-8 ktoe,-94 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,57 ktoe,0 ktoe,-60 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-3089 ktoe,2926 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-163 ktoe,Oil refineries,2004
14,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,-25 ktoe,0 ktoe,-127 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-133 ktoe,0 ktoe,-284 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,-53 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-175 ktoe,0 ktoe,-228 ktoe,Losses,2004
19,705 ktoe,0 ktoe,7273 ktoe,1350 ktoe,0 ktoe,0 ktoe,0 ktoe,146 ktoe,1983 ktoe,0 ktoe,11457 ktoe,Total final consumption,2004
20,194 ktoe,0 ktoe,1044 ktoe,476 ktoe,0 ktoe,0 ktoe,0 ktoe,129 ktoe,592 ktoe,0 ktoe,2435 ktoe,Industry,2004
21,0 ktoe,0 ktoe,3979 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,3984 ktoe,Transport,2004
22,484 ktoe,0 ktoe,1102 ktoe,600 ktoe,0 ktoe,0 ktoe,0 ktoe,15 ktoe,632 ktoe,0 ktoe,2833 ktoe,Residential,2004
23,27 ktoe,0 ktoe,512 ktoe,274 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,702 ktoe,0 ktoe,1518 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,257 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,52 ktoe,0 ktoe,310 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,51 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,51 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,327 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,327 ktoe,Non-energy use,2004
0,1203 ktoe,0 ktoe,0 ktoe,2168 ktoe,0 ktoe,62 ktoe,1 ktoe,105 ktoe,0 ktoe,0 ktoe,3540 ktoe,Production,2005
1,1802 ktoe,2217 ktoe,4796 ktoe,483 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,0 ktoe,9303 ktoe,Imports,2005
2,-19 ktoe,0 ktoe,-847 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-16 ktoe,0 ktoe,-882 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-157 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-343 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-343 ktoe,International aviation bunkers,2005
5,-30 ktoe,-17 ktoe,-56 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-102 ktoe,Stock changes,2005
6,2957 ktoe,2200 ktoe,3393 ktoe,2651 ktoe,0 ktoe,62 ktoe,1 ktoe,105 ktoe,-11 ktoe,0 ktoe,11358 ktoe,TPES,2005
7,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,Transfers,2005
8,72 ktoe,0 ktoe,-77 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,-5 ktoe,Statistical differences,2005
9,-2054 ktoe,0 ktoe,-613 ktoe,-1286 ktoe,0 ktoe,-62 ktoe,-1 ktoe,-7 ktoe,1607 ktoe,0 ktoe,-2417 ktoe,Electricity plants,2005
10,-14 ktoe,0 ktoe,-5 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,0 ktoe,-33 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-2200 ktoe,2167 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-33 ktoe,Oil refineries,2005
14,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,-6 ktoe,0 ktoe,-59 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-113 ktoe,0 ktoe,-177 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,-60 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-141 ktoe,0 ktoe,-201 ktoe,Losses,2005
19,951 ktoe,0 ktoe,4805 ktoe,1270 ktoe,0 ktoe,0 ktoe,0 ktoe,98 ktoe,1363 ktoe,0 ktoe,8487 ktoe,Total final consumption,2005
20,115 ktoe,0 ktoe,839 ktoe,372 ktoe,0 ktoe,0 ktoe,0 ktoe,71 ktoe,532 ktoe,0 ktoe,1929 ktoe,Industry,2005
21,0 ktoe,0 ktoe,2306 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,2308 ktoe,Transport,2005
22,830 ktoe,0 ktoe,667 ktoe,302 ktoe,0 ktoe,0 ktoe,0 ktoe,27 ktoe,449 ktoe,0 ktoe,2275 ktoe,Residential,2005
23,6 ktoe,0 ktoe,590 ktoe,195 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,336 ktoe,0 ktoe,1127 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,235 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,45 ktoe,0 ktoe,280 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,168 ktoe,400 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,569 ktoe,Non-energy use,2005
0,826 ktoe,0 ktoe,0 ktoe,433 ktoe,0 ktoe,62 ktoe,140 ktoe,219 ktoe,0 ktoe,0 ktoe,1680 ktoe,Production,2006
1,1640 ktoe,3268 ktoe,6767 ktoe,3601 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,154 ktoe,0 ktoe,15431 ktoe,Imports,2006
2,-15 ktoe,0 ktoe,-1278 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,-1294 ktoe,Exports,2006
3,0 ktoe,0 ktoe,-123 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-123 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-810 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-810 ktoe,International aviation bunkers,2006
5,-65 ktoe,-52 ktoe,-24 ktoe,-76 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-218 ktoe,Stock changes,2006
6,2385 ktoe,3216 ktoe,4532 ktoe,3958 ktoe,0 ktoe,62 ktoe,140 ktoe,221 ktoe,153 ktoe,0 ktoe,14667 ktoe,TPES,2006
7,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,Transfers,2006
8,13 ktoe,-3 ktoe,1252 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,70 ktoe,0 ktoe,1332 ktoe,Statistical differences,2006
9,-1670 ktoe,0 ktoe,-666 ktoe,-2223 ktoe,0 ktoe,-62 ktoe,-139 ktoe,-26 ktoe,2195 ktoe,0 ktoe,-2592 ktoe,Electricity plants,2006
10,-9 ktoe,0 ktoe,-7 ktoe,-184 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,137 ktoe,0 ktoe,-69 ktoe,CHP plants,2006
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2006
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2006
13,0 ktoe,-3212 ktoe,3262 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,50 ktoe,Oil refineries,2006
14,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,Coal transformation,2006
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2006
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2006
17,-17 ktoe,0 ktoe,-183 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-147 ktoe,0 ktoe,-347 ktoe,Energy industry own use,2006
18,0 ktoe,0 ktoe,0 ktoe,-86 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-182 ktoe,0 ktoe,-268 ktoe,Losses,2006
19,698 ktoe,0 ktoe,8190 ktoe,1465 ktoe,0 ktoe,0 ktoe,1 ktoe,190 ktoe,2225 ktoe,0 ktoe,12768 ktoe,Total final consumption,2006
20,182 ktoe,0 ktoe,1091 ktoe,526 ktoe,0 ktoe,0 ktoe,0 ktoe,164 ktoe,773 ktoe,0 ktoe,2736 ktoe,Industry,2006
21,0 ktoe,0 ktoe,4627 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,5 ktoe,0 ktoe,4635 ktoe,Transport,2006
22,489 ktoe,0 ktoe,1215 ktoe,631 ktoe,0 ktoe,0 ktoe,1 ktoe,17 ktoe,695 ktoe,0 ktoe,3047 ktoe,Residential,2006
23,27 ktoe,0 ktoe,522 ktoe,308 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,699 ktoe,0 ktoe,1561 ktoe,Commercial and public services,2006
24,0 ktoe,0 ktoe,265 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,53 ktoe,0 ktoe,317 ktoe,Agriculture / forestry,2006
25,0 ktoe,0 ktoe,41 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,41 ktoe,Fishing,2006
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2006
27,0 ktoe,0 ktoe,430 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,430 ktoe,Non-energy use,2006
0,643 ktoe,0 ktoe,0 ktoe,322 ktoe,0 ktoe,57 ktoe,170 ktoe,239 ktoe,0 ktoe,0 ktoe,1431 ktoe,Production,2007
1,1443 ktoe,3496 ktoe,6326 ktoe,3916 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,121 ktoe,0 ktoe,15321 ktoe,Imports,2007
2,-11 ktoe,0 ktoe,-1201 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7 ktoe,0 ktoe,-1219 ktoe,Exports,2007
