,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,62 ktoe,5616 ktoe,0 ktoe,10615 ktoe,0 ktoe,3640 ktoe,5068 ktoe,4141 ktoe,0 ktoe,0 ktoe,29143 ktoe,Production,2004
1,16951 ktoe,93677 ktoe,14149 ktoe,55617 ktoe,0 ktoe,0 ktoe,0 ktoe,770 ktoe,3992 ktoe,0 ktoe,185156 ktoe,Imports,2004
2,-169 ktoe,-1415 ktoe,-24457 ktoe,-324 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-68 ktoe,0 ktoe,-26432 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-2187 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2187 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-2877 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2877 ktoe,International aviation bunkers,2004
5,-248 ktoe,-124 ktoe,336 ktoe,111 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,75 ktoe,Stock changes,2004
6,16596 ktoe,97755 ktoe,-15035 ktoe,66019 ktoe,0 ktoe,3640 ktoe,5068 ktoe,4911 ktoe,3924 ktoe,0 ktoe,182878 ktoe,TPES,2004
7,0 ktoe,0 ktoe,211 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,211 ktoe,Transfers,2004
8,-230 ktoe,-254 ktoe,1520 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,1034 ktoe,Statistical differences,2004
9,-10873 ktoe,-391 ktoe,-8578 ktoe,-13159 ktoe,0 ktoe,-3640 ktoe,-4837 ktoe,-1034 ktoe,18284 ktoe,0 ktoe,-24227 ktoe,Electricity plants,2004
10,-940 ktoe,0 ktoe,-6139 ktoe,-12134 ktoe,0 ktoe,0 ktoe,0 ktoe,-1066 ktoe,7148 ktoe,4528 ktoe,-8602 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-99378 ktoe,99528 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,150 ktoe,Oil refineries,2004
14,-1739 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1739 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,2269 ktoe,-2352 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-25 ktoe,0 ktoe,0 ktoe,-108 ktoe,Other transformation,2004
17,-57 ktoe,0 ktoe,-5384 ktoe,-297 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2149 ktoe,-1501 ktoe,-9388 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,-467 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1794 ktoe,0 ktoe,-2261 ktoe,Losses,2004
19,2757 ktoe,0 ktoe,63772 ktoe,39962 ktoe,0 ktoe,0 ktoe,231 ktoe,2787 ktoe,25411 ktoe,3027 ktoe,137947 ktoe,Total final consumption,2004
20,2607 ktoe,0 ktoe,6589 ktoe,14339 ktoe,0 ktoe,0 ktoe,0 ktoe,282 ktoe,12399 ktoe,2801 ktoe,39016 ktoe,Industry,2004
21,0 ktoe,0 ktoe,40876 ktoe,356 ktoe,0 ktoe,0 ktoe,0 ktoe,253 ktoe,826 ktoe,0 ktoe,42310 ktoe,Transport,2004
22,8 ktoe,0 ktoe,5338 ktoe,17937 ktoe,0 ktoe,0 ktoe,17 ktoe,2244 ktoe,5726 ktoe,156 ktoe,31425 ktoe,Residential,2004
23,0 ktoe,0 ktoe,1036 ktoe,6206 ktoe,0 ktoe,0 ktoe,136 ktoe,7 ktoe,6015 ktoe,69 ktoe,13469 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,2357 ktoe,138 ktoe,0 ktoe,0 ktoe,24 ktoe,1 ktoe,440 ktoe,1 ktoe,2961 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,253 ktoe,0 ktoe,0 ktoe,0 ktoe,55 ktoe,0 ktoe,6 ktoe,0 ktoe,313 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,141 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,141 ktoe,Non-specified,2004
27,142 ktoe,0 ktoe,7183 ktoe,987 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8312 ktoe,Non-energy use,2004
0,60 ktoe,6260 ktoe,0 ktoe,9886 ktoe,0 ktoe,3101 ktoe,5023 ktoe,5877 ktoe,0 ktoe,0 ktoe,30208 ktoe,Production,2005
1,16533 ktoe,95306 ktoe,12939 ktoe,60164 ktoe,0 ktoe,0 ktoe,0 ktoe,778 ktoe,4322 ktoe,0 ktoe,190042 ktoe,Imports,2005
2,-159 ktoe,-1606 ktoe,-28092 ktoe,-324 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-95 ktoe,0 ktoe,-30276 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-2241 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2241 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-2997 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2997 ktoe,International aviation bunkers,2005
5,35 ktoe,-95 ktoe,772 ktoe,925 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1638 ktoe,Stock changes,2005
6,16469 ktoe,99866 ktoe,-19619 ktoe,70651 ktoe,0 ktoe,3101 ktoe,5023 ktoe,6656 ktoe,4227 ktoe,0 ktoe,186374 ktoe,TPES,2005
7,0 ktoe,0 ktoe,74 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,74 ktoe,Transfers,2005
8,-162 ktoe,-630 ktoe,1158 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,366 ktoe,Statistical differences,2005
9,-10558 ktoe,-2 ktoe,-6602 ktoe,-14101 ktoe,0 ktoe,-3101 ktoe,-4782 ktoe,-1083 ktoe,17404 ktoe,0 ktoe,-22825 ktoe,Electricity plants,2005
10,-982 ktoe,0 ktoe,-5475 ktoe,-14182 ktoe,0 ktoe,0 ktoe,0 ktoe,-1187 ktoe,8119 ktoe,4611 ktoe,-9095 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-101314 ktoe,101935 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,621 ktoe,Oil refineries,2005
14,-1815 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1815 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,2080 ktoe,-2157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,0 ktoe,0 ktoe,-98 ktoe,Other transformation,2005
17,-270 ktoe,0 ktoe,-5853 ktoe,-295 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2106 ktoe,-1529 ktoe,-10052 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,-491 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1774 ktoe,0 ktoe,-2264 ktoe,Losses,2005
19,2683 ktoe,0 ktoe,63462 ktoe,41583 ktoe,0 ktoe,0 ktoe,240 ktoe,4365 ktoe,25871 ktoe,3082 ktoe,141287 ktoe,Total final consumption,2005
20,2513 ktoe,0 ktoe,6430 ktoe,13862 ktoe,0 ktoe,0 ktoe,0 ktoe,275 ktoe,12447 ktoe,2852 ktoe,38379 ktoe,Industry,2005
21,0 ktoe,0 ktoe,40430 ktoe,380 ktoe,0 ktoe,0 ktoe,0 ktoe,177 ktoe,853 ktoe,0 ktoe,41839 ktoe,Transport,2005
22,7 ktoe,0 ktoe,5324 ktoe,18746 ktoe,0 ktoe,0 ktoe,24 ktoe,3905 ktoe,5758 ktoe,159 ktoe,33922 ktoe,Residential,2005
23,0 ktoe,0 ktoe,1051 ktoe,7434 ktoe,0 ktoe,0 ktoe,138 ktoe,8 ktoe,6352 ktoe,70 ktoe,15053 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,2359 ktoe,169 ktoe,0 ktoe,0 ktoe,24 ktoe,1 ktoe,455 ktoe,1 ktoe,3009 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,252 ktoe,0 ktoe,0 ktoe,0 ktoe,55 ktoe,0 ktoe,6 ktoe,0 ktoe,313 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,162 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,162 ktoe,Non-specified,2005
27,164 ktoe,0 ktoe,7454 ktoe,993 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8611 ktoe,Non-energy use,2005
