,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,659 ktoe,700 ktoe,0 ktoe,2695 ktoe,73593 ktoe,8033 ktoe,3810 ktoe,7176 ktoe,0 ktoe,0 ktoe,96666 ktoe,Production,2004
1,116789 ktoe,209042 ktoe,51330 ktoe,67978 ktoe,0 ktoe,0 ktoe,0 ktoe,128 ktoe,0 ktoe,0 ktoe,445267 ktoe,Imports,2004
2,-1465 ktoe,0 ktoe,-4677 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6142 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-5510 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5510 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-7162 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7162 ktoe,International aviation bunkers,2004
5,5 ktoe,687 ktoe,556 ktoe,-168 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1080 ktoe,Stock changes,2004
6,115988 ktoe,210429 ktoe,34538 ktoe,70505 ktoe,73593 ktoe,8033 ktoe,3810 ktoe,7304 ktoe,0 ktoe,0 ktoe,524199 ktoe,TPES,2004
7,0 ktoe,-1680 ktoe,1527 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-154 ktoe,Transfers,2004
8,-10513 ktoe,-891 ktoe,-7872 ktoe,53 ktoe,0 ktoe,0 ktoe,0 ktoe,-127 ktoe,2661 ktoe,0 ktoe,-16689 ktoe,Statistical differences,2004
9,-59340 ktoe,-5814 ktoe,-20415 ktoe,-47596 ktoe,-73593 ktoe,-8033 ktoe,-3109 ktoe,-2260 ktoe,92755 ktoe,0 ktoe,-127405 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
