,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,1 ktoe,0 ktoe,217 ktoe,0 ktoe,5 ktoe,67 ktoe,4 ktoe,0 ktoe,0 ktoe,294 ktoe,Production,2004
1,0 ktoe,4248 ktoe,990 ktoe,979 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,68 ktoe,0 ktoe,6285 ktoe,Imports,2004
2,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-47 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-47 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-206 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-206 ktoe,International aviation bunkers,2004
5,0 ktoe,-67 ktoe,-40 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-108 ktoe,Stock changes,2004
6,0 ktoe,4182 ktoe,696 ktoe,1196 ktoe,0 ktoe,5 ktoe,67 ktoe,5 ktoe,68 ktoe,0 ktoe,6218 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,0 ktoe,29 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,11 ktoe,0 ktoe,41 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-1042 ktoe,-1196 ktoe,0 ktoe,-5 ktoe,0 ktoe,-2 ktoe,771 ktoe,0 ktoe,-1473 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-4211 ktoe,3904 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-306 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-135 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-59 ktoe,0 ktoe,-193 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-94 ktoe,0 ktoe,-94 ktoe,Losses,2004
19,0 ktoe,0 ktoe,3425 ktoe,0 ktoe,0 ktoe,0 ktoe,67 ktoe,3 ktoe,697 ktoe,0 ktoe,4193 ktoe,Total final consumption,2004
20,0 ktoe,0 ktoe,821 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,193 ktoe,0 ktoe,1014 ktoe,Industry,2004
21,0 ktoe,0 ktoe,1465 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1465 ktoe,Transport,2004
22,0 ktoe,0 ktoe,708 ktoe,0 ktoe,0 ktoe,0 ktoe,63 ktoe,3 ktoe,253 ktoe,0 ktoe,1027 ktoe,Residential,2004
23,0 ktoe,0 ktoe,215 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,143 ktoe,0 ktoe,362 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,108 ktoe,0 ktoe,108 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,126 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,127 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,90 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,90 ktoe,Non-energy use,2004
0,0 ktoe,1 ktoe,0 ktoe,179 ktoe,0 ktoe,5 ktoe,67 ktoe,4 ktoe,0 ktoe,0 ktoe,256 ktoe,Production,2005
1,0 ktoe,4606 ktoe,1114 ktoe,1205 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,64 ktoe,0 ktoe,6990 ktoe,Imports,2005
2,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-78 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-78 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-326 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-326 ktoe,International aviation bunkers,2005
5,0 ktoe,-28 ktoe,-137 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-165 ktoe,Stock changes,2005
6,0 ktoe,4580 ktoe,573 ktoe,1384 ktoe,0 ktoe,5 ktoe,67 ktoe,5 ktoe,63 ktoe,0 ktoe,6677 ktoe,TPES,2005
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2005
8,0 ktoe,-74 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,34 ktoe,0 ktoe,-40 ktoe,Statistical differences,2005
9,0 ktoe,0 ktoe,-986 ktoe,-1384 ktoe,0 ktoe,-5 ktoe,0 ktoe,-1 ktoe,830 ktoe,0 ktoe,-1546 ktoe,Electricity plants,2005
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-4505 ktoe,4305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-200 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,-144 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-59 ktoe,0 ktoe,-203 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-111 ktoe,0 ktoe,-111 ktoe,Losses,2005
19,0 ktoe,0 ktoe,3749 ktoe,0 ktoe,0 ktoe,0 ktoe,67 ktoe,3 ktoe,758 ktoe,0 ktoe,4576 ktoe,Total final consumption,2005
20,0 ktoe,0 ktoe,930 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,215 ktoe,0 ktoe,1146 ktoe,Industry,2005
21,0 ktoe,0 ktoe,1612 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1612 ktoe,Transport,2005
22,0 ktoe,0 ktoe,741 ktoe,0 ktoe,0 ktoe,0 ktoe,63 ktoe,3 ktoe,274 ktoe,0 ktoe,1080 ktoe,Residential,2005
23,0 ktoe,0 ktoe,223 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,157 ktoe,0 ktoe,384 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,112 ktoe,0 ktoe,112 ktoe,Agriculture / forestry,2005
