,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,38245 ktoe,61732 ktoe,0 ktoe,14009 ktoe,0 ktoe,693 ktoe,0 ktoe,21 ktoe,0 ktoe,0 ktoe,114700 ktoe,Production,2004
1,821 ktoe,3306 ktoe,2210 ktoe,9772 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,450 ktoe,0 ktoe,16559 ktoe,Imports,2004
2,-10870 ktoe,-51440 ktoe,-3166 ktoe,-14495 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-637 ktoe,0 ktoe,-80608 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-151 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-151 ktoe,International aviation bunkers,2004
5,-347 ktoe,317 ktoe,-128 ktoe,451 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,293 ktoe,Stock changes,2004
6,27848 ktoe,13916 ktoe,-1235 ktoe,9737 ktoe,0 ktoe,693 ktoe,0 ktoe,21 ktoe,-187 ktoe,0 ktoe,50793 ktoe,TPES,2004
7,0 ktoe,-821 ktoe,821 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,-241 ktoe,-3127 ktoe,-69 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3437 ktoe,Statistical differences,2004
9,0 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,-693 ktoe,0 ktoe,0 ktoe,694 ktoe,0 ktoe,-3 ktoe,Electricity plants,2004
10,-18411 ktoe,0 ktoe,-334 ktoe,-1841 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5062 ktoe,8760 ktoe,-6765 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-9648 ktoe,8956 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-692 ktoe,Oil refineries,2004
14,-1930 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1930 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,-524 ktoe,0 ktoe,-737 ktoe,-6658 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1263 ktoe,0 ktoe,-9181 ktoe,Energy industry own use,2004
18,-599 ktoe,-316 ktoe,-144 ktoe,-304 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-588 ktoe,-1133 ktoe,-3083 ktoe,Losses,2004
19,6143 ktoe,0 ktoe,7258 ktoe,934 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,3719 ktoe,7627 ktoe,25700 ktoe,Total final consumption,2004
20,5766 ktoe,0 ktoe,2173 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2239 ktoe,3729 ktoe,13907 ktoe,Industry,2004
21,0 ktoe,0 ktoe,3139 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,159 ktoe,0 ktoe,3299 ktoe,Transport,2004
