,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,4 ktoe,75 ktoe,0 ktoe,0 ktoe,88 ktoe,Production,2004
1,79 ktoe,0 ktoe,3077 ktoe,1196 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,559 ktoe,0 ktoe,4913 ktoe,Imports,2004
2,0 ktoe,0 ktoe,-18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,-269 ktoe,0 ktoe,-289 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-425 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-425 ktoe,International aviation bunkers,2004
5,0 ktoe,0 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Stock changes,2004
6,79 ktoe,0 ktoe,2646 ktoe,1196 ktoe,0 ktoe,9 ktoe,4 ktoe,74 ktoe,290 ktoe,0 ktoe,4300 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,1 ktoe,0 ktoe,-1 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,0 ktoe,-428 ktoe,0 ktoe,-9 ktoe,-4 ktoe,-32 ktoe,253 ktoe,0 ktoe,-220 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,-1 ktoe,-124 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,38 ktoe,73 ktoe,-15 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,2 ktoe,-1 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
