,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,153 ktoe,36923 ktoe,0 ktoe,30696 ktoe,0 ktoe,446 ktoe,0 ktoe,1277 ktoe,0 ktoe,0 ktoe,69495 ktoe,Production,2004
1,1938 ktoe,2570 ktoe,7094 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,11 ktoe,0 ktoe,11617 ktoe,Imports,2004
2,-15 ktoe,-18315 ktoe,-7317 ktoe,-16725 ktoe,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,-12 ktoe,0 ktoe,-42404 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-187 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-187 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-1068 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1068 ktoe,International aviation bunkers,2004
5,-23 ktoe,-166 ktoe,382 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,194 ktoe,Stock changes,2004
6,2053 ktoe,21013 ktoe,-1096 ktoe,13971 ktoe,0 ktoe,446 ktoe,0 ktoe,1261 ktoe,-1 ktoe,0 ktoe,37647 ktoe,TPES,2004
7,0 ktoe,-1519 ktoe,1649 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,130 ktoe,Transfers,2004
8,-376 ktoe,-454 ktoe,95 ktoe,-33 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-769 ktoe,Statistical differences,2004
9,-950 ktoe,0 ktoe,-2638 ktoe,-7489 ktoe,0 ktoe,-446 ktoe,0 ktoe,0 ktoe,4421 ktoe,0 ktoe,-7102 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
