,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,7042 ktoe,201570 ktoe,0 ktoe,36596 ktoe,2396 ktoe,2167 ktoe,5732 ktoe,8603 ktoe,0 ktoe,0 ktoe,264106 ktoe,Production,2004
1,2965 ktoe,318 ktoe,14773 ktoe,9588 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,0 ktoe,27650 ktoe,Imports,2004
2,-2 ktoe,-111950 ktoe,-4072 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-116 ktoe,0 ktoe,-116140 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-841 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-841 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-2828 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2828 ktoe,International aviation bunkers,2004
5,-171 ktoe,-540 ktoe,3 ktoe,-19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-726 ktoe,Stock changes,2004
6,9834 ktoe,89398 ktoe,7034 ktoe,46165 ktoe,2396 ktoe,2167 ktoe,5732 ktoe,8603 ktoe,-110 ktoe,0 ktoe,171220 ktoe,TPES,2004
7,0 ktoe,-7899 ktoe,10310 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2411 ktoe,Transfers,2004
8,269 ktoe,-2648 ktoe,-1669 ktoe,139 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-78 ktoe,0 ktoe,-3988 ktoe,Statistical differences,2004
9,-6613 ktoe,0 ktoe,-15789 ktoe,-18610 ktoe,-2396 ktoe,-2167 ktoe,-5658 ktoe,-1114 ktoe,19819 ktoe,0 ktoe,-32526 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,-32 ktoe,-2020 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,609 ktoe,0 ktoe,-1442 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,-1261 ktoe,998 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-262 ktoe,Gas works,2004
13,0 ktoe,-78942 ktoe,72970 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5972 ktoe,Oil refineries,2004
14,-824 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-824 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,90 ktoe,-40 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,51 ktoe,Other transformation,2004
17,-319 ktoe,0 ktoe,-6265 ktoe,-15300 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1624 ktoe,0 ktoe,-23507 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3001 ktoe,0 ktoe,-3001 ktoe,Losses,2004
19,2348 ktoe,0 ktoe,65258 ktoe,11374 ktoe,0 ktoe,0 ktoe,74 ktoe,7489 ktoe,15616 ktoe,0 ktoe,102159 ktoe,Total final consumption,2004
20,2226 ktoe,0 ktoe,7244 ktoe,9905 ktoe,0 ktoe,0 ktoe,3 ktoe,1120 ktoe,9042 ktoe,0 ktoe,29541 ktoe,Industry,2004
21,0 ktoe,0 ktoe,41608 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,94 ktoe,0 ktoe,41717 ktoe,Transport,2004
22,0 ktoe,0 ktoe,7292 ktoe,628 ktoe,0 ktoe,0 ktoe,42 ktoe,6369 ktoe,3502 ktoe,0 ktoe,17834 ktoe,Residential,2004
23,0 ktoe,0 ktoe,1599 ktoe,142 ktoe,0 ktoe,0 ktoe,28 ktoe,0 ktoe,1651 ktoe,0 ktoe,3420 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,2296 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,599 ktoe,0 ktoe,2896 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,728 ktoe,0 ktoe,728 ktoe,Non-specified,2004
27,122 ktoe,0 ktoe,5218 ktoe,683 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6024 ktoe,Non-energy use,2004
0,7081 ktoe,197518 ktoe,0 ktoe,38459 ktoe,2815 ktoe,2383 ktoe,6363 ktoe,8885 ktoe,0 ktoe,0 ktoe,263503 ktoe,Production,2005
