,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,3075 ktoe,0 ktoe,61579 ktoe,996 ktoe,8 ktoe,197 ktoe,2395 ktoe,0 ktoe,0 ktoe,68250 ktoe,Production,2004
1,8823 ktoe,61897 ktoe,55717 ktoe,13502 ktoe,0 ktoe,0 ktoe,0 ktoe,282 ktoe,1840 ktoe,0 ktoe,142062 ktoe,Imports,2004
2,-261 ktoe,-1401 ktoe,-69530 ktoe,-38359 ktoe,0 ktoe,0 ktoe,0 ktoe,-357 ktoe,-446 ktoe,0 ktoe,-110353 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-14252 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14252 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-3501 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3501 ktoe,International aviation bunkers,2004
5,-86 ktoe,-150 ktoe,-812 ktoe,29 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1019 ktoe,Stock changes,2004
6,8476 ktoe,63421 ktoe,-32378 ktoe,36751 ktoe,996 ktoe,8 ktoe,197 ktoe,2320 ktoe,1394 ktoe,0 ktoe,81186 ktoe,TPES,2004
7,0 ktoe,-2788 ktoe,3488 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,700 ktoe,Transfers,2004
8,1 ktoe,200 ktoe,-172 ktoe,-51 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-137 ktoe,0 ktoe,-159 ktoe,Statistical differences,2004
9,-3636 ktoe,0 ktoe,0 ktoe,-3782 ktoe,-996 ktoe,-8 ktoe,-181 ktoe,-1001 ktoe,4159 ktoe,0 ktoe,-5446 ktoe,Electricity plants,2004
10,-2304 ktoe,0 ktoe,-657 ktoe,-8302 ktoe,0 ktoe,0 ktoe,0 ktoe,-520 ktoe,4544 ktoe,3291 ktoe,-3948 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,-959 ktoe,-375 ktoe,0 ktoe,0 ktoe,0 ktoe,-182 ktoe,0 ktoe,1185 ktoe,-330 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,10 ktoe,0 ktoe,0 ktoe,0 ktoe,-10 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-60654 ktoe,59390 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1264 ktoe,Oil refineries,2004
14,-1469 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1469 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
