,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,3108 ktoe,1169 ktoe,0 ktoe,3467 ktoe,0 ktoe,2342 ktoe,1887 ktoe,1323 ktoe,0 ktoe,0 ktoe,13295 ktoe,Production,2004
1,455 ktoe,4825 ktoe,2202 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7481 ktoe,Imports,2004
2,-1364 ktoe,-742 ktoe,-98 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2205 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-232 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-232 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-749 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-749 ktoe,International aviation bunkers,2004
5,-57 ktoe,58 ktoe,-210 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-209 ktoe,Stock changes,2004
6,2142 ktoe,5310 ktoe,911 ktoe,3466 ktoe,0 ktoe,2342 ktoe,1887 ktoe,1323 ktoe,0 ktoe,0 ktoe,17381 ktoe,TPES,2004
7,0 ktoe,-182 ktoe,187 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,Transfers,2004
8,-193 ktoe,67 ktoe,-147 ktoe,25 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-50 ktoe,0 ktoe,-298 ktoe,Statistical differences,2004
9,-955 ktoe,0 ktoe,-7 ktoe,-855 ktoe,0 ktoe,-2342 ktoe,-1579 ktoe,-33 ktoe,3416 ktoe,-36 ktoe,-2391 ktoe,Electricity plants,2004
10,-192 ktoe,0 ktoe,0 ktoe,-453 ktoe,0 ktoe,0 ktoe,-72 ktoe,-100 ktoe,254 ktoe,36 ktoe,-528 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-5195 ktoe,5305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,110 ktoe,Oil refineries,2004
14,-119 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-119 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
