,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,28 ktoe,219 ktoe,1223 ktoe,0 ktoe,0 ktoe,1470 ktoe,Production,2004
1,0 ktoe,809 ktoe,561 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,1372 ktoe,Imports,2004
2,0 ktoe,0 ktoe,-44 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,-46 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-19 ktoe,International aviation bunkers,2004
5,0 ktoe,34 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,32 ktoe,Stock changes,2004
6,0 ktoe,843 ktoe,495 ktoe,0 ktoe,0 ktoe,28 ktoe,219 ktoe,1223 ktoe,0 ktoe,0 ktoe,2808 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,0 ktoe,15 ktoe,-14 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,-2 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-489 ktoe,0 ktoe,0 ktoe,-28 ktoe,-219 ktoe,-204 ktoe,251 ktoe,0 ktoe,-689 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-858 ktoe,855 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,-23 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,0 ktoe,-55 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-70 ktoe,0 ktoe,-70 ktoe,Losses,2004
19,0 ktoe,0 ktoe,813 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,993 ktoe,160 ktoe,0 ktoe,1966 ktoe,Total final consumption,2004
20,0 ktoe,0 ktoe,171 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,50 ktoe,29 ktoe,0 ktoe,250 ktoe,Industry,2004
21,0 ktoe,0 ktoe,483 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,483 ktoe,Transport,2004
22,0 ktoe,0 ktoe,37 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,930 ktoe,47 ktoe,0 ktoe,1014 ktoe,Residential,2004
23,0 ktoe,0 ktoe,77 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,10 ktoe,50 ktoe,0 ktoe,136 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,6 ktoe,0 ktoe,18 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,29 ktoe,0 ktoe,29 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,36 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,36 ktoe,Non-energy use,2004
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37 ktoe,233 ktoe,1243 ktoe,0 ktoe,0 ktoe,1513 ktoe,Production,2005
1,0 ktoe,780 ktoe,608 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,1390 ktoe,Imports,2005
2,0 ktoe,0 ktoe,-37 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,-37 ktoe,Exports,2005
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17 ktoe,International aviation bunkers,2005
5,0 ktoe,19 ktoe,18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,36 ktoe,Stock changes,2005
6,0 ktoe,798 ktoe,572 ktoe,0 ktoe,0 ktoe,37 ktoe,233 ktoe,1243 ktoe,1 ktoe,0 ktoe,2884 ktoe,TPES,2005
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2005
8,0 ktoe,16 ktoe,-16 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17 ktoe,0 ktoe,0 ktoe,-17 ktoe,Statistical differences,2005
9,0 ktoe,0 ktoe,-458 ktoe,0 ktoe,0 ktoe,-37 ktoe,-233 ktoe,-211 ktoe,262 ktoe,0 ktoe,-677 ktoe,Electricity plants,2005
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-814 ktoe,764 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-50 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,0 ktoe,0 ktoe,-20 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,-33 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-24 ktoe,0 ktoe,-57 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-71 ktoe,0 ktoe,-71 ktoe,Losses,2005
