,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,1731 ktoe,3445 ktoe,0 ktoe,24264 ktoe,728 ktoe,2207 ktoe,0 ktoe,26131 ktoe,0 ktoe,0 ktoe,58506 ktoe,Production,2004
1,2181 ktoe,8583 ktoe,5908 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,0 ktoe,16681 ktoe,Imports,2004
2,0 ktoe,-41 ktoe,-1073 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1114 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-63 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-63 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-781 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-781 ktoe,International aviation bunkers,2004
5,0 ktoe,0 ktoe,91 ktoe,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,84 ktoe,Stock changes,2004
6,3911 ktoe,11987 ktoe,4082 ktoe,24257 ktoe,728 ktoe,2207 ktoe,0 ktoe,26131 ktoe,9 ktoe,0 ktoe,73313 ktoe,TPES,2004
7,0 ktoe,-198 ktoe,209 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,Transfers,2004
8,0 ktoe,-138 ktoe,27 ktoe,388 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,276 ktoe,Statistical differences,2004
9,-98 ktoe,0 ktoe,-3364 ktoe,-9793 ktoe,-728 ktoe,-2207 ktoe,0 ktoe,0 ktoe,7363 ktoe,0 ktoe,-8828 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-11651 ktoe,11391 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-260 ktoe,Oil refineries,2004
14,-525 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-525 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-522 ktoe,0 ktoe,0 ktoe,-522 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-317 ktoe,-270 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-284 ktoe,0 ktoe,-872 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,-413 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1809 ktoe,0 ktoe,-2221 ktoe,Losses,2004
19,3289 ktoe,0 ktoe,12027 ktoe,14169 ktoe,0 ktoe,0 ktoe,0 ktoe,25609 ktoe,5279 ktoe,0 ktoe,60373 ktoe,Total final consumption,2004
