,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,15 ktoe,4734 ktoe,0 ktoe,963 ktoe,0 ktoe,1507 ktoe,56 ktoe,2332 ktoe,0 ktoe,0 ktoe,9608 ktoe,Production,2004
1,807 ktoe,4192 ktoe,1746 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6744 ktoe,Imports,2004
2,0 ktoe,-841 ktoe,-2073 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2914 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-77 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-77 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-457 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-457 ktoe,International aviation bunkers,2004
5,86 ktoe,-80 ktoe,-36 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-29 ktoe,Stock changes,2004
6,909 ktoe,8006 ktoe,-897 ktoe,963 ktoe,0 ktoe,1507 ktoe,56 ktoe,2332 ktoe,0 ktoe,0 ktoe,12875 ktoe,TPES,2004
7,0 ktoe,-189 ktoe,206 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,18 ktoe,Transfers,2004
8,6 ktoe,711 ktoe,1 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,729 ktoe,Statistical differences,2004
9,-263 ktoe,0 ktoe,-860 ktoe,-609 ktoe,0 ktoe,-1507 ktoe,0 ktoe,-53 ktoe,2086 ktoe,0 ktoe,-1207 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-8527 ktoe,8449 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-78 ktoe,Oil refineries,2004
14,-118 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-118 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-82 ktoe,0 ktoe,0 ktoe,-82 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-327 ktoe,-317 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-31 ktoe,0 ktoe,-675 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-203 ktoe,0 ktoe,-203 ktoe,Losses,2004
19,534 ktoe,0 ktoe,6573 ktoe,47 ktoe,0 ktoe,0 ktoe,56 ktoe,2197 ktoe,1852 ktoe,0 ktoe,11259 ktoe,Total final consumption,2004
20,529 ktoe,0 ktoe,1729 ktoe,47 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,1051 ktoe,0 ktoe,3358 ktoe,Industry,2004
21,0 ktoe,0 ktoe,3485 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3485 ktoe,Transport,2004
22,0 ktoe,0 ktoe,687 ktoe,0 ktoe,0 ktoe,0 ktoe,56 ktoe,2049 ktoe,551 ktoe,0 ktoe,3344 ktoe,Residential,2004
23,0 ktoe,0 ktoe,129 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,162 ktoe,0 ktoe,291 ktoe,Commercial and public services,2004
24,5 ktoe,0 ktoe,42 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,145 ktoe,88 ktoe,0 ktoe,281 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,290 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,290 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,210 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,210 ktoe,Non-energy use,2004
