,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,69180 ktoe,919 ktoe,0 ktoe,3927 ktoe,0 ktoe,179 ktoe,20 ktoe,4247 ktoe,0 ktoe,13 ktoe,78486 ktoe,Production,2004
1,1645 ktoe,17951 ktoe,5547 ktoe,8157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,457 ktoe,0 ktoe,33757 ktoe,Imports,2004
2,-16612 ktoe,-140 ktoe,-2267 ktoe,-38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1256 ktoe,0 ktoe,-20313 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-250 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-250 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-281 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-281 ktoe,International aviation bunkers,2004
5,-41 ktoe,4 ktoe,-177 ktoe,-166 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-380 ktoe,Stock changes,2004
6,54171 ktoe,18734 ktoe,2572 ktoe,11881 ktoe,0 ktoe,179 ktoe,20 ktoe,4247 ktoe,-799 ktoe,13 ktoe,91018 ktoe,TPES,2004
7,0 ktoe,56 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,51 ktoe,Transfers,2004
8,1379 ktoe,54 ktoe,-510 ktoe,-70 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,853 ktoe,Statistical differences,2004
9,-2261 ktoe,0 ktoe,-11 ktoe,-1 ktoe,0 ktoe,-179 ktoe,-12 ktoe,-2 ktoe,1047 ktoe,-36 ktoe,-1454 ktoe,Electricity plants,2004
10,-34047 ktoe,0 ktoe,-568 ktoe,-969 ktoe,0 ktoe,0 ktoe,0 ktoe,-198 ktoe,12070 ktoe,5197 ktoe,-18516 ktoe,CHP plants,2004
11,-3331 ktoe,0 ktoe,-70 ktoe,-311 ktoe,0 ktoe,0 ktoe,0 ktoe,-36 ktoe,0 ktoe,2904 ktoe,-845 ktoe,Heat plants,2004
12,3 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-19182 ktoe,18874 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-308 ktoe,Oil refineries,2004
14,-1650 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1650 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,-136 ktoe,341 ktoe,-168 ktoe,-183 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-146 ktoe,Other transformation,2004
17,-1445 ktoe,-3 ktoe,-995 ktoe,-638 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,-2118 ktoe,-673 ktoe,-5878 ktoe,Energy industry own use,2004
18,-40 ktoe,0 ktoe,0 ktoe,-203 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1241 ktoe,-662 ktoe,-2145 ktoe,Losses,2004
19,12643 ktoe,0 ktoe,19117 ktoe,9506 ktoe,0 ktoe,0 ktoe,8 ktoe,4005 ktoe,8959 ktoe,6743 ktoe,60980 ktoe,Total final consumption,2004
20,5440 ktoe,0 ktoe,1766 ktoe,2711 ktoe,0 ktoe,0 ktoe,0 ktoe,872 ktoe,3607 ktoe,1099 ktoe,15495 ktoe,Industry,2004
21,0 ktoe,0 ktoe,10708 ktoe,176 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,369 ktoe,0 ktoe,11267 ktoe,Transport,2004
22,5461 ktoe,0 ktoe,1080 ktoe,3018 ktoe,0 ktoe,0 ktoe,6 ktoe,2469 ktoe,2191 ktoe,4586 ktoe,18811 ktoe,Residential,2004
23,676 ktoe,0 ktoe,506 ktoe,1662 ktoe,0 ktoe,0 ktoe,2 ktoe,176 ktoe,2667 ktoe,1034 ktoe,6723 ktoe,Commercial and public services,2004
24,855 ktoe,0 ktoe,2767 ktoe,28 ktoe,0 ktoe,0 ktoe,0 ktoe,475 ktoe,125 ktoe,23 ktoe,4273 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,1 ktoe,6 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2004
27,210 ktoe,0 ktoe,2284 ktoe,1911 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4405 ktoe,Non-energy use,2004
0,68857 ktoe,895 ktoe,0 ktoe,3884 ktoe,0 ktoe,189 ktoe,23 ktoe,4493 ktoe,0 ktoe,12 ktoe,78354 ktoe,Production,2005
1,2153 ktoe,18548 ktoe,6314 ktoe,8567 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,430 ktoe,0 ktoe,36013 ktoe,Imports,2005
2,-15143 ktoe,-207 ktoe,-2755 ktoe,-36 ktoe,0 ktoe,0 ktoe,0 ktoe,-65 ktoe,-1392 ktoe,0 ktoe,-19598 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-321 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-321 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-319 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-319 ktoe,International aviation bunkers,2005
5,-1210 ktoe,-358 ktoe,-239 ktoe,-181 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,0 ktoe,-1986 ktoe,Stock changes,2005
6,54657 ktoe,18878 ktoe,2680 ktoe,12235 ktoe,0 ktoe,189 ktoe,23 ktoe,4431 ktoe,-962 ktoe,12 ktoe,92142 ktoe,TPES,2005
7,0 ktoe,77 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,42 ktoe,Transfers,2005
8,-24 ktoe,-26 ktoe,142 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,100 ktoe,Statistical differences,2005
9,-2264 ktoe,0 ktoe,-10 ktoe,-1 ktoe,0 ktoe,-189 ktoe,-12 ktoe,-6 ktoe,1062 ktoe,-43 ktoe,-1463 ktoe,Electricity plants,2005
10,-34091 ktoe,0 ktoe,-550 ktoe,-1069 ktoe,0 ktoe,0 ktoe,0 ktoe,-392 ktoe,12296 ktoe,5240 ktoe,-18566 ktoe,CHP plants,2005
11,-3205 ktoe,0 ktoe,-51 ktoe,-294 ktoe,0 ktoe,0 ktoe,0 ktoe,-40 ktoe,0 ktoe,2780 ktoe,-810 ktoe,Heat plants,2005
12,2 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,Gas works,2005
13,0 ktoe,-19413 ktoe,18814 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-599 ktoe,Oil refineries,2005
14,-1169 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1169 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
