,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,849 ktoe,169 ktoe,2878 ktoe,0 ktoe,0 ktoe,3896 ktoe,Production,2004
1,3211 ktoe,13468 ktoe,4244 ktoe,3305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,740 ktoe,0 ktoe,24969 ktoe,Imports,2004
2,0 ktoe,0 ktoe,-2009 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-183 ktoe,0 ktoe,-2192 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-651 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-651 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-701 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-701 ktoe,International aviation bunkers,2004
5,162 ktoe,-97 ktoe,440 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,503 ktoe,Stock changes,2004
6,3373 ktoe,13370 ktoe,1323 ktoe,3303 ktoe,0 ktoe,849 ktoe,169 ktoe,2878 ktoe,557 ktoe,0 ktoe,25823 ktoe,TPES,2004
7,0 ktoe,268 ktoe,-234 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,33 ktoe,Transfers,2004
8,-60 ktoe,15 ktoe,-124 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-168 ktoe,Statistical differences,2004
9,-3227 ktoe,0 ktoe,-701 ktoe,-1557 ktoe,0 ktoe,-849 ktoe,-147 ktoe,-219 ktoe,3391 ktoe,0 ktoe,-3307 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,-547 ktoe,-430 ktoe,0 ktoe,0 ktoe,0 ktoe,-180 ktoe,463 ktoe,258 ktoe,-436 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-13653 ktoe,13460 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-193 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-736 ktoe,-17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-222 ktoe,0 ktoe,-975 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-349 ktoe,0 ktoe,-369 ktoe,Losses,2004
19,87 ktoe,0 ktoe,12441 ktoe,1281 ktoe,0 ktoe,0 ktoe,22 ktoe,2480 ktoe,3841 ktoe,258 ktoe,20408 ktoe,Total final consumption,2004
20,87 ktoe,0 ktoe,1584 ktoe,946 ktoe,0 ktoe,0 ktoe,0 ktoe,1321 ktoe,1469 ktoe,242 ktoe,5650 ktoe,Industry,2004
21,0 ktoe,0 ktoe,6545 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,40 ktoe,0 ktoe,6594 ktoe,Transport,2004
22,0 ktoe,0 ktoe,765 ktoe,181 ktoe,0 ktoe,0 ktoe,13 ktoe,1158 ktoe,1069 ktoe,2 ktoe,3188 ktoe,Residential,2004
23,0 ktoe,0 ktoe,525 ktoe,140 ktoe,0 ktoe,0 ktoe,9 ktoe,0 ktoe,1178 ktoe,14 ktoe,1866 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,442 ktoe,3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,81 ktoe,0 ktoe,527 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,57 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,61 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,2510 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2510 ktoe,Non-energy use,2004
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,407 ktoe,241 ktoe,2967 ktoe,0 ktoe,0 ktoe,3615 ktoe,Production,2005
1,3225 ktoe,13757 ktoe,5459 ktoe,3893 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,828 ktoe,0 ktoe,27161 ktoe,Imports,2005
2,0 ktoe,0 ktoe,-2385 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-241 ktoe,0 ktoe,-2626 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-573 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-573 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-727 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-727 ktoe,International aviation bunkers,2005
5,124 ktoe,-50 ktoe,-321 ktoe,-142 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-390 ktoe,Stock changes,2005
6,3349 ktoe,13706 ktoe,1452 ktoe,3751 ktoe,0 ktoe,407 ktoe,241 ktoe,2967 ktoe,587 ktoe,0 ktoe,26459 ktoe,TPES,2005
7,0 ktoe,275 ktoe,-238 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37 ktoe,Transfers,2005
8,29 ktoe,-66 ktoe,20 ktoe,-38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-54 ktoe,Statistical differences,2005
9,-3361 ktoe,0 ktoe,-1356 ktoe,-1803 ktoe,0 ktoe,-407 ktoe,-217 ktoe,-245 ktoe,3471 ktoe,0 ktoe,-3918 ktoe,Electricity plants,2005
10,0 ktoe,0 ktoe,-557 ktoe,-506 ktoe,0 ktoe,0 ktoe,0 ktoe,-183 ktoe,501 ktoe,328 ktoe,-418 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-13915 ktoe,13735 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-181 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,-786 ktoe,-79 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-213 ktoe,0 ktoe,-1078 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,-7 ktoe,-18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-362 ktoe,0 ktoe,-387 ktoe,Losses,2005
19,17 ktoe,0 ktoe,12263 ktoe,1307 ktoe,0 ktoe,0 ktoe,23 ktoe,2539 ktoe,3983 ktoe,328 ktoe,20460 ktoe,Total final consumption,2005
20,17 ktoe,0 ktoe,1486 ktoe,956 ktoe,0 ktoe,0 ktoe,0 ktoe,1375 ktoe,1477 ktoe,315 ktoe,5624 ktoe,Industry,2005
21,0 ktoe,0 ktoe,6270 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,41 ktoe,0 ktoe,6322 ktoe,Transport,2005
22,0 ktoe,0 ktoe,682 ktoe,200 ktoe,0 ktoe,0 ktoe,14 ktoe,1164 ktoe,1139 ktoe,1 ktoe,3200 ktoe,Residential,2005
23,0 ktoe,0 ktoe,791 ktoe,136 ktoe,0 ktoe,0 ktoe,10 ktoe,0 ktoe,1239 ktoe,11 ktoe,2188 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,425 ktoe,4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,85 ktoe,0 ktoe,514 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,55 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,58 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,25 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,25 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,2529 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2529 ktoe,Non-energy use,2005
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,946 ktoe,354 ktoe,3067 ktoe,0 ktoe,0 ktoe,4367 ktoe,Production,2006
1,3493 ktoe,14974 ktoe,3114 ktoe,3662 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,742 ktoe,0 ktoe,25984 ktoe,Imports,2006
2,0 ktoe,0 ktoe,-3410 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-274 ktoe,0 ktoe,-3684 ktoe,Exports,2006
3,0 ktoe,0 ktoe,-628 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-628 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-770 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-770 ktoe,International aviation bunkers,2006
5,-184 ktoe,-260 ktoe,360 ktoe,-22 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,0 ktoe,0 ktoe,-115 ktoe,Stock changes,2006
6,3309 ktoe,14714 ktoe,-1335 ktoe,3640 ktoe,0 ktoe,946 ktoe,354 ktoe,3058 ktoe,468 ktoe,0 ktoe,25153 ktoe,TPES,2006
7,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,Transfers,2006
8,27 ktoe,-41 ktoe,-73 ktoe,-32 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-119 ktoe,Statistical differences,2006
9,-3310 ktoe,0 ktoe,-608 ktoe,-1558 ktoe,0 ktoe,-946 ktoe,-329 ktoe,-244 ktoe,3664 ktoe,0 ktoe,-3331 ktoe,Electricity plants,2006
