,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,144006 ktoe,458466 ktoe,0 ktoe,509315 ktoe,38069 ktoe,15118 ktoe,347 ktoe,7133 ktoe,0 ktoe,0 ktoe,1172454 ktoe,Production,2004
1,13497 ktoe,4230 ktoe,571 ktoe,5565 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1047 ktoe,0 ktoe,24910 ktoe,Imports,2004
2,-45449 ktoe,-258910 ktoe,-71311 ktoe,-161866 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1702 ktoe,0 ktoe,-539238 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-4768 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4768 ktoe,International aviation bunkers,2004
5,2016 ktoe,-1388 ktoe,-34 ktoe,-6353 ktoe,0 ktoe,0 ktoe,0 ktoe,-89 ktoe,0 ktoe,0 ktoe,-5848 ktoe,Stock changes,2004
6,114071 ktoe,202398 ktoe,-75542 ktoe,346661 ktoe,38069 ktoe,15118 ktoe,347 ktoe,7045 ktoe,-655 ktoe,0 ktoe,647511 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,-2486 ktoe,0 ktoe,-236 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2722 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-596 ktoe,-1099 ktoe,-37705 ktoe,-15118 ktoe,-347 ktoe,0 ktoe,27918 ktoe,0 ktoe,-26946 ktoe,Electricity plants,2004
10,-59732 ktoe,-5 ktoe,-8232 ktoe,-137814 ktoe,-364 ktoe,0 ktoe,0 ktoe,-1985 ktoe,52039 ktoe,73176 ktoe,-82916 ktoe,CHP plants,2004
11,-16167 ktoe,-910 ktoe,-8064 ktoe,-61527 ktoe,0 ktoe,0 ktoe,0 ktoe,-2251 ktoe,0 ktoe,76020 ktoe,-12898 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-197333 ktoe,196927 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-406 ktoe,Oil refineries,2004
14,-20702 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-20702 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,-5804 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5804 ktoe,Other transformation,2004
17,-562 ktoe,-1410 ktoe,-11860 ktoe,-10619 ktoe,0 ktoe,0 ktoe,0 ktoe,-176 ktoe,-14115 ktoe,-11986 ktoe,-50728 ktoe,Energy industry own use,2004
18,-4 ktoe,-2535 ktoe,0 ktoe,-5087 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9681 ktoe,-7128 ktoe,-24435 ktoe,Losses,2004
19,14419 ktoe,206 ktoe,92397 ktoe,124711 ktoe,0 ktoe,0 ktoe,0 ktoe,2632 ktoe,55506 ktoe,130081 ktoe,419952 ktoe,Total final consumption,2004
20,7020 ktoe,111 ktoe,12095 ktoe,27677 ktoe,0 ktoe,0 ktoe,0 ktoe,725 ktoe,28727 ktoe,47745 ktoe,124100 ktoe,Industry,2004
21,0 ktoe,37 ktoe,47605 ktoe,34250 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6907 ktoe,0 ktoe,88799 ktoe,Transport,2004
22,5369 ktoe,0 ktoe,4311 ktoe,42720 ktoe,0 ktoe,0 ktoe,0 ktoe,1533 ktoe,12323 ktoe,68682 ktoe,134938 ktoe,Residential,2004
23,326 ktoe,0 ktoe,824 ktoe,2723 ktoe,0 ktoe,0 ktoe,0 ktoe,14 ktoe,6003 ktoe,10555 ktoe,20445 ktoe,Commercial and public services,2004
24,115 ktoe,11 ktoe,4275 ktoe,473 ktoe,0 ktoe,0 ktoe,0 ktoe,119 ktoe,1547 ktoe,3100 ktoe,9639 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,943 ktoe,47 ktoe,1527 ktoe,932 ktoe,0 ktoe,0 ktoe,0 ktoe,241 ktoe,0 ktoe,0 ktoe,3689 ktoe,Non-specified,2004
27,647 ktoe,0 ktoe,21760 ktoe,15936 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38342 ktoe,Non-energy use,2004
0,157425 ktoe,468708 ktoe,0 ktoe,515842 ktoe,39248 ktoe,14848 ktoe,353 ktoe,6952 ktoe,0 ktoe,0 ktoe,1203375 ktoe,Production,2005
1,13644 ktoe,2438 ktoe,27 ktoe,6201 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,872 ktoe,0 ktoe,23182 ktoe,Imports,2005
2,-55763 ktoe,-253848 ktoe,-83538 ktoe,-167423 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1936 ktoe,0 ktoe,-562508 ktoe,Exports,2005
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-5154 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5154 ktoe,International aviation bunkers,2005
5,-2724 ktoe,-458 ktoe,1023 ktoe,-4951 ktoe,0 ktoe,0 ktoe,0 ktoe,-36 ktoe,0 ktoe,0 ktoe,-7146 ktoe,Stock changes,2005
6,112582 ktoe,216840 ktoe,-87642 ktoe,349669 ktoe,39248 ktoe,14848 ktoe,353 ktoe,6916 ktoe,-1065 ktoe,0 ktoe,651749 ktoe,TPES,2005
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2005
8,-2635 ktoe,0 ktoe,58 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2577 ktoe,Statistical differences,2005
9,0 ktoe,0 ktoe,-473 ktoe,-1505 ktoe,-38940 ktoe,-14848 ktoe,-353 ktoe,0 ktoe,28154 ktoe,0 ktoe,-27964 ktoe,Electricity plants,2005
10,-60865 ktoe,-4 ktoe,-7291 ktoe,-141827 ktoe,-308 ktoe,0 ktoe,0 ktoe,-1729 ktoe,53631 ktoe,65272 ktoe,-93121 ktoe,CHP plants,2005
11,-15991 ktoe,-762 ktoe,-8241 ktoe,-60452 ktoe,0 ktoe,0 ktoe,0 ktoe,-2326 ktoe,0 ktoe,83652 ktoe,-4118 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-213127 ktoe,208855 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4272 ktoe,Oil refineries,2005
14,-19266 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-19266 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,-732 ktoe,-2054 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2786 ktoe,Other transformation,2005
17,-589 ktoe,-298 ktoe,-12708 ktoe,-10524 ktoe,0 ktoe,0 ktoe,0 ktoe,-250 ktoe,-15152 ktoe,-16572 ktoe,-56092 ktoe,Energy industry own use,2005
18,0 ktoe,-2578 ktoe,0 ktoe,-5255 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9681 ktoe,-12069 ktoe,-29582 ktoe,Losses,2005
19,13237 ktoe,70 ktoe,91826 ktoe,128054 ktoe,0 ktoe,0 ktoe,0 ktoe,2611 ktoe,55888 ktoe,120284 ktoe,411970 ktoe,Total final consumption,2005
