,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,500773 ktoe,0 ktoe,41827 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,542601 ktoe,Production,2004
1,0 ktoe,0 ktoe,3788 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,0 ktoe,0 ktoe,3793 ktoe,Imports,2004
2,0 ktoe,-358823 ktoe,-66105 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-424928 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-2184 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2184 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-1936 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1936 ktoe,International aviation bunkers,2004
5,0 ktoe,2228 ktoe,240 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2468 ktoe,Stock changes,2004
6,0 ktoe,144179 ktoe,-66197 ktoe,41827 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,0 ktoe,0 ktoe,119814 ktoe,TPES,2004
7,0 ktoe,-38595 ktoe,40595 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1999 ktoe,Transfers,2004
8,0 ktoe,249 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,249 ktoe,Statistical differences,2004
9,0 ktoe,-5966 ktoe,-13434 ktoe,-25918 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13747 ktoe,0 ktoe,-31571 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-98451 ktoe,97057 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1394 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,-25 ktoe,-5345 ktoe,-1673 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1678 ktoe,0 ktoe,-8721 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1112 ktoe,0 ktoe,-1112 ktoe,Losses,2004
19,0 ktoe,1390 ktoe,52676 ktoe,14236 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,10957 ktoe,0 ktoe,79264 ktoe,Total final consumption,2004
20,0 ktoe,1390 ktoe,10642 ktoe,11662 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1219 ktoe,0 ktoe,24913 ktoe,Industry,2004
21,0 ktoe,0 ktoe,24120 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,24120 ktoe,Transport,2004
22,0 ktoe,0 ktoe,1379 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,6308 ktoe,0 ktoe,7692 ktoe,Residential,2004
23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3106 ktoe,0 ktoe,3106 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,251 ktoe,0 ktoe,251 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,72 ktoe,0 ktoe,72 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,16536 ktoe,2574 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19110 ktoe,Non-energy use,2004
0,0 ktoe,524966 ktoe,0 ktoe,45968 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,570934 ktoe,Production,2005
1,0 ktoe,0 ktoe,3731 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,0 ktoe,0 ktoe,3737 ktoe,Imports,2005
