,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,9300 ktoe,666 ktoe,0 ktoe,257 ktoe,0 ktoe,913 ktoe,0 ktoe,903 ktoe,0 ktoe,0 ktoe,12039 ktoe,Production,2004
1,572 ktoe,3384 ktoe,417 ktoe,2055 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,514 ktoe,0 ktoe,6941 ktoe,Imports,2004
2,-47 ktoe,0 ktoe,-196 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-100 ktoe,-537 ktoe,0 ktoe,-881 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-47 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-47 ktoe,International aviation bunkers,2004
5,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes,2004
6,9824 ktoe,4049 ktoe,174 ktoe,2312 ktoe,0 ktoe,913 ktoe,0 ktoe,803 ktoe,-23 ktoe,0 ktoe,18051 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,-82 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-82 ktoe,Statistical differences,2004
9,-7894 ktoe,0 ktoe,-42 ktoe,-166 ktoe,0 ktoe,-913 ktoe,0 ktoe,0 ktoe,3197 ktoe,0 ktoe,-5817 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,-56 ktoe,0 ktoe,-12 ktoe,-672 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,628 ktoe,-112 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-4049 ktoe,3554 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-495 ktoe,Oil refineries,2004
14,-132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-132 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-241 ktoe,0 ktoe,-241 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-484 ktoe,0 ktoe,-484 ktoe,Losses,2004
19,1661 ktoe,0 ktoe,3673 ktoe,1474 ktoe,0 ktoe,0 ktoe,0 ktoe,803 ktoe,2449 ktoe,628 ktoe,10687 ktoe,Total final consumption,2004
20,1025 ktoe,0 ktoe,1013 ktoe,920 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,516 ktoe,0 ktoe,3474 ktoe,Industry,2004
21,0 ktoe,0 ktoe,2090 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,0 ktoe,2110 ktoe,Transport,2004
22,503 ktoe,0 ktoe,23 ktoe,249 ktoe,0 ktoe,0 ktoe,0 ktoe,803 ktoe,1172 ktoe,373 ktoe,3121 ktoe,Residential,2004
23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,395 ktoe,0 ktoe,395 ktoe,Commercial and public services,2004
24,74 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,18 ktoe,54 ktoe,145 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,59 ktoe,0 ktoe,425 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,328 ktoe,202 ktoe,1014 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,123 ktoe,305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,428 ktoe,Non-energy use,2004
0,7461 ktoe,663 ktoe,0 ktoe,229 ktoe,0 ktoe,981 ktoe,0 ktoe,903 ktoe,0 ktoe,0 ktoe,10236 ktoe,Production,2005
1,703 ktoe,3138 ktoe,732 ktoe,1718 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,580 ktoe,0 ktoe,6871 ktoe,Imports,2005
2,-46 ktoe,0 ktoe,-102 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-100 ktoe,-748 ktoe,0 ktoe,-996 ktoe,Exports,2005
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-49 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-49 ktoe,International aviation bunkers,2005
5,-46 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-46 ktoe,Stock changes,2005
6,8072 ktoe,3800 ktoe,581 ktoe,1947 ktoe,0 ktoe,981 ktoe,0 ktoe,803 ktoe,-167 ktoe,0 ktoe,16016 ktoe,TPES,2005
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2005
8,282 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,282 ktoe,Statistical differences,2005
9,-1722 ktoe,0 ktoe,-10 ktoe,0 ktoe,0 ktoe,-981 ktoe,0 ktoe,0 ktoe,1484 ktoe,0 ktoe,-1229 ktoe,Electricity plants,2005
10,-5193 ktoe,0 ktoe,-191 ktoe,-119 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1599 ktoe,257 ktoe,-3647 ktoe,CHP plants,2005
11,-208 ktoe,0 ktoe,-289 ktoe,-590 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,909 ktoe,-179 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-3800 ktoe,3336 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-464 ktoe,Oil refineries,2005
14,-239 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-239 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-249 ktoe,-24 ktoe,-273 ktoe,Energy industry own use,2005
18,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-460 ktoe,-70 ktoe,-531 ktoe,Losses,2005
19,991 ktoe,0 ktoe,3426 ktoe,1238 ktoe,0 ktoe,0 ktoe,0 ktoe,803 ktoe,2207 ktoe,1071 ktoe,9736 ktoe,Total final consumption,2005
20,454 ktoe,0 ktoe,1005 ktoe,770 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,521 ktoe,601 ktoe,3352 ktoe,Industry,2005
21,0 ktoe,0 ktoe,2184 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,0 ktoe,2206 ktoe,Transport,2005
22,450 ktoe,0 ktoe,24 ktoe,208 ktoe,0 ktoe,0 ktoe,0 ktoe,803 ktoe,1220 ktoe,392 ktoe,3096 ktoe,Residential,2005
23,86 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,426 ktoe,73 ktoe,586 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,5 ktoe,24 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,85 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,85 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,128 ktoe,259 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,387 ktoe,Non-energy use,2005
0,7819 ktoe,660 ktoe,0 ktoe,236 ktoe,0 ktoe,890 ktoe,0 ktoe,907 ktoe,0 ktoe,0 ktoe,10512 ktoe,Production,2006
1,949 ktoe,2538 ktoe,1557 ktoe,1756 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,737 ktoe,0 ktoe,7537 ktoe,Imports,2006
2,-38 ktoe,0 ktoe,-68 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-100 ktoe,-806 ktoe,0 ktoe,-1013 ktoe,Exports,2006
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-53 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-53 ktoe,International aviation bunkers,2006
5,17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,17 ktoe,Stock changes,2006
6,8747 ktoe,3198 ktoe,1436 ktoe,1992 ktoe,0 ktoe,890 ktoe,0 ktoe,807 ktoe,-70 ktoe,0 ktoe,17000 ktoe,TPES,2006
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2006
8,-28 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-28 ktoe,Statistical differences,2006
