,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,1201 ktoe,0 ktoe,0 ktoe,4 ktoe,1422 ktoe,352 ktoe,0 ktoe,480 ktoe,0 ktoe,0 ktoe,3460 ktoe,Production,2004
1,360 ktoe,0 ktoe,2680 ktoe,894 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,639 ktoe,0 ktoe,4574 ktoe,Imports,2004
2,-24 ktoe,0 ktoe,-121 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-704 ktoe,0 ktoe,-849 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,International aviation bunkers,2004
5,1 ktoe,0 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-33 ktoe,Stock changes,2004
6,1538 ktoe,0 ktoe,2505 ktoe,899 ktoe,1422 ktoe,352 ktoe,0 ktoe,480 ktoe,-65 ktoe,0 ktoe,7132 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,-27 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-28 ktoe,Statistical differences,2004
9,-164 ktoe,0 ktoe,-2 ktoe,-11 ktoe,-1422 ktoe,-352 ktoe,0 ktoe,-2 ktoe,882 ktoe,0 ktoe,-1072 ktoe,Electricity plants,2004
10,-1240 ktoe,0 ktoe,-7 ktoe,-51 ktoe,0 ktoe,0 ktoe,0 ktoe,-27 ktoe,431 ktoe,161 ktoe,-732 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,-5 ktoe,-63 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,0 ktoe,71 ktoe,-9 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-94 ktoe,-7 ktoe,-105 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-75 ktoe,-31 ktoe,-106 ktoe,Losses,2004
19,108 ktoe,0 ktoe,2491 ktoe,768 ktoe,0 ktoe,0 ktoe,0 ktoe,440 ktoe,1079 ktoe,195 ktoe,5081 ktoe,Total final consumption,2004
20,77 ktoe,0 ktoe,199 ktoe,511 ktoe,0 ktoe,0 ktoe,0 ktoe,113 ktoe,581 ktoe,53 ktoe,1534 ktoe,Industry,2004
21,0 ktoe,0 ktoe,1348 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,16 ktoe,0 ktoe,1364 ktoe,Transport,2004
22,0 ktoe,0 ktoe,451 ktoe,98 ktoe,0 ktoe,0 ktoe,0 ktoe,324 ktoe,259 ktoe,107 ktoe,1239 ktoe,Residential,2004
23,0 ktoe,0 ktoe,224 ktoe,57 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,223 ktoe,35 ktoe,541 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,73 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,73 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,Non-specified,2004
27,30 ktoe,0 ktoe,173 ktoe,102 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,305 ktoe,Non-energy use,2004
0,1184 ktoe,0 ktoe,0 ktoe,3 ktoe,1533 ktoe,298 ktoe,0 ktoe,489 ktoe,0 ktoe,0 ktoe,3507 ktoe,Production,2005
1,333 ktoe,0 ktoe,2827 ktoe,925 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,803 ktoe,0 ktoe,4888 ktoe,Imports,2005
2,-10 ktoe,0 ktoe,-218 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-831 ktoe,0 ktoe,-1059 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-21 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,International aviation bunkers,2005
5,32 ktoe,0 ktoe,-32 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes,2005
6,1539 ktoe,0 ktoe,2533 ktoe,929 ktoe,1533 ktoe,298 ktoe,0 ktoe,489 ktoe,-28 ktoe,0 ktoe,7293 ktoe,TPES,2005
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2005
8,-22 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-22 ktoe,Statistical differences,2005
9,-162 ktoe,0 ktoe,-4 ktoe,-9 ktoe,-1533 ktoe,-298 ktoe,0 ktoe,-2 ktoe,862 ktoe,0 ktoe,-1147 ktoe,Electricity plants,2005
10,-1249 ktoe,0 ktoe,-5 ktoe,-49 ktoe,0 ktoe,0 ktoe,0 ktoe,-27 ktoe,438 ktoe,170 ktoe,-722 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,-5 ktoe,-76 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,72 ktoe,-18 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-94 ktoe,-6 ktoe,-104 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-82 ktoe,-40 ktoe,-122 ktoe,Losses,2005
19,105 ktoe,0 ktoe,2520 ktoe,791 ktoe,0 ktoe,0 ktoe,0 ktoe,452 ktoe,1096 ktoe,196 ktoe,5159 ktoe,Total final consumption,2005
20,80 ktoe,0 ktoe,217 ktoe,541 ktoe,0 ktoe,0 ktoe,0 ktoe,125 ktoe,617 ktoe,62 ktoe,1642 ktoe,Industry,2005
21,0 ktoe,0 ktoe,1434 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,17 ktoe,0 ktoe,1451 ktoe,Transport,2005
