,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,567 ktoe,0 ktoe,0 ktoe,0 ktoe,79 ktoe,0 ktoe,25 ktoe,0 ktoe,0 ktoe,672 ktoe,Production,2004
1,0 ktoe,0 ktoe,319 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,321 ktoe,Imports,2004
2,0 ktoe,0 ktoe,-426 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-426 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-33 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-33 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International aviation bunkers,2004
5,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes,2004
6,0 ktoe,567 ktoe,-140 ktoe,0 ktoe,0 ktoe,79 ktoe,0 ktoe,27 ktoe,0 ktoe,0 ktoe,533 ktoe,TPES,2004
7,0 ktoe,-221 ktoe,231 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,10 ktoe,Transfers,2004
8,0 ktoe,25 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,20 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-140 ktoe,0 ktoe,0 ktoe,-79 ktoe,0 ktoe,0 ktoe,121 ktoe,0 ktoe,-99 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-370 ktoe,352 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-18 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,-2 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,-8 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,0 ktoe,-11 ktoe,Losses,2004
19,0 ktoe,0 ktoe,294 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,26 ktoe,108 ktoe,0 ktoe,428 ktoe,Total final consumption,2004
20,0 ktoe,0 ktoe,21 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,56 ktoe,0 ktoe,80 ktoe,Industry,2004
21,0 ktoe,0 ktoe,158 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,158 ktoe,Transport,2004
22,0 ktoe,0 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,31 ktoe,0 ktoe,67 ktoe,Residential,2004
23,0 ktoe,0 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,0 ktoe,26 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,96 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,96 ktoe,Agriculture / forestry,2004
