,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,267 ktoe,0 ktoe,0 ktoe,0 ktoe,20190 ktoe,5170 ktoe,79 ktoe,8303 ktoe,0 ktoe,323 ktoe,34330 ktoe,Production,2004
1,2653 ktoe,21133 ktoe,6973 ktoe,884 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,1345 ktoe,0 ktoe,32989 ktoe,Imports,2004
2,-30 ktoe,-272 ktoe,-10788 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1526 ktoe,0 ktoe,-12616 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-1876 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1876 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-625 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-625 ktoe,International aviation bunkers,2004
5,59 ktoe,21 ktoe,305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,385 ktoe,Stock changes,2004
6,2948 ktoe,20883 ktoe,-6012 ktoe,884 ktoe,20190 ktoe,5170 ktoe,79 ktoe,8304 ktoe,-181 ktoe,323 ktoe,52587 ktoe,TPES,2004
7,0 ktoe,405 ktoe,-365 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,40 ktoe,Transfers,2004
8,50 ktoe,245 ktoe,693 ktoe,-81 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,907 ktoe,Statistical differences,2004
9,-57 ktoe,0 ktoe,-12 ktoe,0 ktoe,-20190 ktoe,-5170 ktoe,-74 ktoe,0 ktoe,11930 ktoe,0 ktoe,-13572 ktoe,Electricity plants,2004
10,-882 ktoe,0 ktoe,-447 ktoe,-246 ktoe,0 ktoe,0 ktoe,0 ktoe,-2865 ktoe,1113 ktoe,2545 ktoe,-782 ktoe,CHP plants,2004
11,-120 ktoe,0 ktoe,-145 ktoe,-30 ktoe,0 ktoe,0 ktoe,0 ktoe,-960 ktoe,-202 ktoe,1374 ktoe,-83 ktoe,Heat plants,2004
12,44 ktoe,0 ktoe,-62 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,Gas works,2004
13,0 ktoe,-21533 ktoe,20497 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1036 ktoe,Oil refineries,2004
14,-804 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-807 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,-104 ktoe,0 ktoe,-717 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-510 ktoe,0 ktoe,-1334 ktoe,Energy industry own use,2004
18,-44 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-941 ktoe,-151 ktoe,-1136 ktoe,Losses,2004
19,1031 ktoe,0 ktoe,13428 ktoe,519 ktoe,0 ktoe,0 ktoe,5 ktoe,4480 ktoe,11209 ktoe,4091 ktoe,34762 ktoe,Total final consumption,2004
20,983 ktoe,0 ktoe,2196 ktoe,353 ktoe,0 ktoe,0 ktoe,0 ktoe,3423 ktoe,4918 ktoe,405 ktoe,12277 ktoe,Industry,2004
21,0 ktoe,0 ktoe,7365 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,127 ktoe,257 ktoe,0 ktoe,7765 ktoe,Transport,2004
22,27 ktoe,0 ktoe,500 ktoe,43 ktoe,0 ktoe,0 ktoe,5 ktoe,572 ktoe,3558 ktoe,2440 ktoe,7144 ktoe,Residential,2004
23,4 ktoe,0 ktoe,795 ktoe,86 ktoe,0 ktoe,0 ktoe,0 ktoe,54 ktoe,2369 ktoe,1239 ktoe,4547 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,319 ktoe,22 ktoe,0 ktoe,0 ktoe,0 ktoe,304 ktoe,107 ktoe,7 ktoe,760 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,32 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,32 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,29 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,29 ktoe,Non-specified,2004
27,17 ktoe,0 ktoe,2192 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2208 ktoe,Non-energy use,2004
0,211 ktoe,0 ktoe,0 ktoe,0 ktoe,18858 ktoe,6260 ktoe,86 ktoe,8856 ktoe,0 ktoe,294 ktoe,34567 ktoe,Production,2005
1,2579 ktoe,20682 ktoe,7312 ktoe,843 ktoe,0 ktoe,0 ktoe,0 ktoe,147 ktoe,1253 ktoe,0 ktoe,32817 ktoe,Imports,2005
2,-27 ktoe,-562 ktoe,-9967 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,-1889 ktoe,0 ktoe,-12467 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-1915 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1915 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-631 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-631 ktoe,International aviation bunkers,2005
5,-137 ktoe,-184 ktoe,-463 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,0 ktoe,-776 ktoe,Stock changes,2005
6,2626 ktoe,19937 ktoe,-5663 ktoe,843 ktoe,18858 ktoe,6260 ktoe,86 ktoe,8988 ktoe,-636 ktoe,294 ktoe,51593 ktoe,TPES,2005
7,0 ktoe,765 ktoe,-693 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,72 ktoe,Transfers,2005
8,103 ktoe,149 ktoe,576 ktoe,-84 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,0 ktoe,0 ktoe,734 ktoe,Statistical differences,2005
9,-73 ktoe,0 ktoe,-38 ktoe,0 ktoe,-18858 ktoe,-6260 ktoe,-81 ktoe,0 ktoe,12600 ktoe,0 ktoe,-12710 ktoe,Electricity plants,2005
10,-713 ktoe,0 ktoe,-279 ktoe,-198 ktoe,0 ktoe,0 ktoe,0 ktoe,-3158 ktoe,1017 ktoe,2562 ktoe,-768 ktoe,CHP plants,2005
11,-75 ktoe,0 ktoe,-129 ktoe,-28 ktoe,0 ktoe,0 ktoe,0 ktoe,-1095 ktoe,-189 ktoe,1468 ktoe,-48 ktoe,Heat plants,2005
12,44 ktoe,0 ktoe,-39 ktoe,-22 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17 ktoe,Gas works,2005
13,0 ktoe,-20850 ktoe,19924 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-926 ktoe,Oil refineries,2005
14,-830 ktoe,0 ktoe,-28 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-858 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,-98 ktoe,0 ktoe,-678 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-548 ktoe,0 ktoe,-1325 ktoe,Energy industry own use,2005
18,-32 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1007 ktoe,-151 ktoe,-1189 ktoe,Losses,2005
19,952 ktoe,0 ktoe,12952 ktoe,509 ktoe,0 ktoe,0 ktoe,6 ktoe,4726 ktoe,11238 ktoe,4174 ktoe,34557 ktoe,Total final consumption,2005
20,903 ktoe,0 ktoe,1842 ktoe,338 ktoe,0 ktoe,0 ktoe,0 ktoe,3551 ktoe,4949 ktoe,380 ktoe,11963 ktoe,Industry,2005
21,0 ktoe,0 ktoe,7481 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,153 ktoe,242 ktoe,0 ktoe,7891 ktoe,Transport,2005
22,25 ktoe,0 ktoe,416 ktoe,46 ktoe,0 ktoe,0 ktoe,6 ktoe,628 ktoe,3668 ktoe,2513 ktoe,7302 ktoe,Residential,2005
23,8 ktoe,0 ktoe,617 ktoe,88 ktoe,0 ktoe,0 ktoe,0 ktoe,60 ktoe,2247 ktoe,1274 ktoe,4293 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,253 ktoe,22 ktoe,0 ktoe,0 ktoe,0 ktoe,335 ktoe,131 ktoe,7 ktoe,748 ktoe,Agriculture / forestry,2005
