,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7052 ktoe,2902 ktoe,20 ktoe,1967 ktoe,0 ktoe,1 ktoe,11942 ktoe,Production,2004
1,128 ktoe,5386 ktoe,7632 ktoe,2711 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,2326 ktoe,0 ktoe,18191 ktoe,Imports,2004
2,0 ktoe,0 ktoe,-595 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,-2387 ktoe,0 ktoe,-2992 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-1149 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1149 ktoe,International aviation bunkers,2004
5,1 ktoe,11 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,Stock changes,2004
6,129 ktoe,5398 ktoe,5843 ktoe,2711 ktoe,7052 ktoe,2902 ktoe,20 ktoe,1965 ktoe,-60 ktoe,1 ktoe,25959 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,0 ktoe,-1 ktoe,418 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,417 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,-7024 ktoe,-2902 ktoe,-2 ktoe,-88 ktoe,5242 ktoe,0 ktoe,-4777 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,-30 ktoe,-214 ktoe,-28 ktoe,0 ktoe,0 ktoe,-849 ktoe,249 ktoe,384 ktoe,-488 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,-4 ktoe,-140 ktoe,0 ktoe,0 ktoe,0 ktoe,-14 ktoe,-1 ktoe,133 ktoe,-25 ktoe,Heat plants,2004
12,3 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
