,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,22580 ktoe,0 ktoe,5106 ktoe,0 ktoe,359 ktoe,0 ktoe,5 ktoe,0 ktoe,0 ktoe,28050 ktoe,Production,2004
1,6 ktoe,6 ktoe,2284 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,10 ktoe,0 ktoe,2306 ktoe,Imports,2004
2,-3 ktoe,-11980 ktoe,-2109 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-57 ktoe,0 ktoe,-14149 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-1146 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1146 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-124 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-124 ktoe,International aviation bunkers,2004
5,0 ktoe,2332 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2353 ktoe,Stock changes,2004
6,3 ktoe,12938 ktoe,-1074 ktoe,5106 ktoe,0 ktoe,359 ktoe,0 ktoe,5 ktoe,-47 ktoe,0 ktoe,17290 ktoe,TPES,2004
7,0 ktoe,-301 ktoe,339 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,Transfers,2004
8,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-3500 ktoe,-3070 ktoe,0 ktoe,-359 ktoe,0 ktoe,0 ktoe,2758 ktoe,0 ktoe,-4171 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-12637 ktoe,12105 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-532 ktoe,Oil refineries,2004
14,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-436 ktoe,-168 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-315 ktoe,0 ktoe,-919 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-569 ktoe,0 ktoe,-569 ktoe,Losses,2004
19,1 ktoe,0 ktoe,7434 ktoe,1872 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,1827 ktoe,0 ktoe,11139 ktoe,Total final consumption,2004
20,1 ktoe,0 ktoe,934 ktoe,661 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,567 ktoe,0 ktoe,2163 ktoe,Industry,2004
21,0 ktoe,0 ktoe,3414 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3414 ktoe,Transport,2004
22,0 ktoe,0 ktoe,1495 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,855 ktoe,0 ktoe,2350 ktoe,Residential,2004
23,0 ktoe,0 ktoe,336 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,180 ktoe,0 ktoe,516 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,484 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,484 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,179 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,225 ktoe,0 ktoe,409 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,592 ktoe,1211 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1804 ktoe,Non-energy use,2004
0,0 ktoe,21088 ktoe,0 ktoe,4943 ktoe,0 ktoe,372 ktoe,0 ktoe,6 ktoe,0 ktoe,0 ktoe,26409 ktoe,Production,2005
1,6 ktoe,10 ktoe,4648 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,0 ktoe,4685 ktoe,Imports,2005
2,-3 ktoe,-10463 ktoe,-1171 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-78 ktoe,0 ktoe,-11714 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-1032 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1032 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-112 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-112 ktoe,International aviation bunkers,2005
5,0 ktoe,2731 ktoe,-173 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2558 ktoe,Stock changes,2005
6,3 ktoe,13366 ktoe,2161 ktoe,4943 ktoe,0 ktoe,372 ktoe,0 ktoe,6 ktoe,-57 ktoe,0 ktoe,20793 ktoe,TPES,2005
7,0 ktoe,-333 ktoe,375 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,42 ktoe,Transfers,2005
8,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,Statistical differences,2005
9,0 ktoe,0 ktoe,-4438 ktoe,-3013 ktoe,0 ktoe,-372 ktoe,0 ktoe,0 ktoe,3004 ktoe,0 ktoe,-4819 ktoe,Electricity plants,2005
