,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,5818 ktoe,10932 ktoe,0 ktoe,17524 ktoe,0 ktoe,519 ktoe,2 ktoe,16479 ktoe,0 ktoe,0 ktoe,51274 ktoe,Production,2004
1,4750 ktoe,43926 ktoe,1527 ktoe,6859 ktoe,0 ktoe,0 ktoe,0 ktoe,25 ktoe,291 ktoe,0 ktoe,57379 ktoe,Imports,2004
2,0 ktoe,-2898 ktoe,-5523 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,-32 ktoe,0 ktoe,-8457 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-1415 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1415 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-3390 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3390 ktoe,International aviation bunkers,2004
5,142 ktoe,1317 ktoe,-545 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,913 ktoe,Stock changes,2004
6,10710 ktoe,53278 ktoe,-9346 ktoe,24383 ktoe,0 ktoe,519 ktoe,2 ktoe,16501 ktoe,259 ktoe,0 ktoe,96305 ktoe,TPES,2004
7,0 ktoe,-2916 ktoe,3053 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,137 ktoe,Transfers,2004
8,56 ktoe,-34 ktoe,2 ktoe,10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,35 ktoe,Statistical differences,2004
9,-4947 ktoe,0 ktoe,-1730 ktoe,-18128 ktoe,0 ktoe,-519 ktoe,-2 ktoe,-1034 ktoe,10811 ktoe,0 ktoe,-15549 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-49880 ktoe,48818 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1062 ktoe,Oil refineries,2004
14,-21 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
