,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,554225 ktoe,339085 ktoe,0 ktoe,433400 ktoe,211923 ktoe,23312 ktoe,11265 ktoe,72428 ktoe,0 ktoe,0 ktoe,1645637 ktoe,Production,2004
1,20661 ktoe,593893 ktoe,99127 ktoe,99098 ktoe,0 ktoe,0 ktoe,0 ktoe,231 ktoe,2942 ktoe,0 ktoe,815952 ktoe,Imports,2004
2,-28029 ktoe,-3823 ktoe,-48946 ktoe,-19556 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1969 ktoe,0 ktoe,-102323 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-24263 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-24263 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-21261 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21261 ktoe,International aviation bunkers,2004
5,5649 ktoe,-7262 ktoe,-1049 ktoe,-3231 ktoe,0 ktoe,0 ktoe,0 ktoe,59 ktoe,0 ktoe,0 ktoe,-5835 ktoe,Stock changes,2004
6,552506 ktoe,921893 ktoe,3607 ktoe,509711 ktoe,211923 ktoe,23312 ktoe,11265 ktoe,72718 ktoe,973 ktoe,0 ktoe,2307906 ktoe,TPES,2004
7,0 ktoe,-56415 ktoe,58270 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1855 ktoe,Transfers,2004
8,-14493 ktoe,-9380 ktoe,-1243 ktoe,10686 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14430 ktoe,Statistical differences,2004
9,-477197 ktoe,0 ktoe,-27109 ktoe,-96878 ktoe,-211923 ktoe,-23312 ktoe,-9249 ktoe,-11608 ktoe,326915 ktoe,0 ktoe,-530361 ktoe,Electricity plants,2004
10,-16017 ktoe,0 ktoe,-6349 ktoe,-49244 ktoe,0 ktoe,0 ktoe,0 ktoe,-11738 ktoe,29756 ktoe,5639 ktoe,-47953 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,-1675 ktoe,0 ktoe,0 ktoe,1043 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-632 ktoe,Gas works,2004
