,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,4926 ktoe,184344 ktoe,0 ktoe,22330 ktoe,0 ktoe,6025 ktoe,0 ktoe,599 ktoe,0 ktoe,0 ktoe,218226 ktoe,Production,2004
1,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,75 ktoe,0 ktoe,75 ktoe,Imports,2004
2,-4926 ktoe,-119247 ktoe,-36786 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-42 ktoe,0 ktoe,-161001 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-662 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-662 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-654 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-654 ktoe,International aviation bunkers,2004
5,0 ktoe,-16 ktoe,319 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,303 ktoe,Stock changes,2004
6,0 ktoe,65081 ktoe,-37783 ktoe,22330 ktoe,0 ktoe,6025 ktoe,0 ktoe,599 ktoe,33 ktoe,0 ktoe,56286 ktoe,TPES,2004
7,0 ktoe,-5071 ktoe,5892 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,821 ktoe,Transfers,2004
8,0 ktoe,0 ktoe,204 ktoe,-305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,-94 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-3682 ktoe,-4400 ktoe,0 ktoe,-6025 ktoe,0 ktoe,0 ktoe,8474 ktoe,0 ktoe,-5633 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-60010 ktoe,58580 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1429 ktoe,Oil refineries,2004
