Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,4698,4527,4479,4361,4441,4598,4661,4658,4593,4532,4665,4890,4945,5296,5691,6056,6405,6673,6870,7000,7389,7834,7945,8014,7973,7756,7336,7542,7683
OECD,2308,2191,2126,2018,2061,2068,2092,2116,2103,2064,2040,2118,2086,2057,2105,2146,2175,2179,2177,2076,2103,2111,2054,2025,2055,1935,1745,1792,1768
G7,1552,1444,1389,1300,1342,1333,1347,1356,1352,1320,1284,1336,1304,1275,1324,1337,1358,1350,1358,1255,1267,1282,1214,1178,1187,1071,903,943,910
BRICS,1821,1807,1831,1856,1933,2090,2142,2113,2060,2055,2164,2280,2368,2707,3008,3290,3519,3757,3934,4141,4446,4746,4876,4951,4900,4862,4610,4751,4911
Europe,1209,1089,1027,963,910,910,901,880,819,778,778,789,782,782,768,758,759,761,749,723,705,739,730,690,664,654,623,634,629
European Union,1087,977,914,857,813,805,795,764,692,663,657,666,666,667,655,639,630,620,599,574,564,591,591,559,540,528,482,491,473
Belgium,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,101,97,87,85,77,75,77,74,68,59,65,66,63,64,64,62,63,63,60,56,55,58,55,49,47,47,46,45,44
France,14,13,12,11,10,10,9,7,6,6,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,434,353,314,287,265,252,241,229,212,205,205,206,211,208,211,206,200,205,194,185,184,189,197,191,187,185,176,175,169
Italy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,215,210,198,199,201,201,202,201,179,171,163,164,162,164,162,160,156,146,144,135,133,139,144,143,137,136,131,127,123
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,38,32,38,40,41,41,42,34,26,23,29,33,30,33,32,31,35,36,36,34,31,36,34,25,24,25,23,26,24
Spain,36,34,33,32,30,28,27,26,26,24,23,23,22,21,20,19,18,17,10,9,8,7,6,4,4,3,2,2,2
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
United Kingdom,93,95,84,68,50,53,50,48,41,37,31,32,30,28,25,20,19,17,18,18,18,19,17,13,12,9,4,3,3
Norway,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,1,2,4,3,3,2,1,1,2,2,1,1,0,0
Turkey,47,46,51,49,54,55,56,60,67,67,63,62,54,49,46,58,64,75,79,79,73,75,70,60,65,58,73,74,85
CIS,683,619,589,519,460,419,386,371,357,368,388,397,381,408,413,439,453,459,488,445,476,492,528,525,513,504,520,535,565
Kazakhstan,131,130,127,112,105,84,78,73,71,60,77,79,74,85,87,87,97,98,111,101,111,116,121,120,114,107,103,112,118
Russia,377,338,324,289,257,250,244,232,220,238,242,251,240,258,260,285,286,290,306,277,300,297,331,328,334,353,368,388,412
Ukraine,159,135,126,109,89,78,58,59,60,63,63,62,62,60,60,61,65,65,65,60,58,70,68,69,56,35,40,25,25
Uzbekistan,6,7,6,5,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5
America,1040,1011,1008,964,1053,1058,1091,1123,1148,1125,1106,1161,1123,1109,1165,1195,1232,1226,1244,1146,1163,1187,1112,1086,1105,985,836,877,846
North America,1002,975,971,927,1010,1012,1041,1067,1089,1069,1041,1092,1059,1034,1085,1109,1138,1127,1144,1050,1064,1073,999,973,987,876,722,763,738
Canada,68,71,66,69,73,75,76,79,75,72,69,70,67,62,66,70,70,74,68,63,68,67,66,69,69,62,61,61,54
United States,934,904,905,858,938,937,965,989,1014,996,972,1021,993,972,1019,1039,1068,1053,1076,988,996,1006,932,904,918,814,661,703,684
Latin America,38,36,37,38,43,46,50,55,59,57,65,70,64,75,80,87,94,99,100,96,99,114,114,114,118,109,114,114,108
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,5,5,5,5,5,5,5,6,6,6,7,6,5,5,5,6,6,6,7,6,5,6,7,9,8,8,7,5,4
Chile,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,3,4,3,3,2,3
Colombia,21,20,22,21,23,26,30,33,34,33,38,44,40,50,54,59,66,70,74,73,74,86,89,85,89,86,91,91,84
Mexico,7,6,6,7,9,9,10,10,11,10,11,11,11,12,13,13,15,16,14,13,15,20,16,15,15,11,13,15,16
Venezuela,2,2,2,4,4,4,4,5,7,7,8,8,7,7,7,7,7,6,5,3,3,2,1,1,1,1,1,0,0
Asia,1376,1399,1441,1488,1586,1752,1818,1790,1747,1735,1851,1978,2086,2405,2741,3036,3329,3577,3733,4018,4344,4737,4865,4981,4921,4827,4586,4717,4860
China,1040,1041,1073,1112,1203,1339,1379,1336,1296,1264,1355,1450,1539,1819,2089,2317,2520,2722,2844,3043,3316,3608,3678,3749,3640,3563,3268,3376,3474
India,225,245,255,262,272,290,308,319,316,324,336,350,364,386,410,437,462,491,525,566,570,582,603,610,657,683,712,725,764
Indonesia,10,13,22,28,31,42,50,55,61,74,79,94,102,117,144,171,233,249,249,291,325,405,451,492,491,455,463,469,474
Japan,8,8,8,7,7,6,6,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malaysia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,3,3,3,3,3,2,3,2
South Korea,17,15,12,9,7,6,5,5,4,4,8,8,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,12,15,15,16,17,18,21,23,20,18,18,20,20,19,20,21,19,18,18,18,18,21,18,18,18,15,17,16,15
Pacific,207,222,231,229,228,245,251,268,290,295,310,333,344,347,355,376,380,396,397,412,441,420,440,463,493,516,503,502,505
Australia,205,220,228,226,225,242,247,264,287,291,307,329,340,342,350,371,375,391,392,408,436,415,435,458,489,512,500,499,502
New Zealand,3,3,3,3,3,4,4,4,3,4,3,4,4,5,5,5,6,5,5,5,5,5,5,5,4,3,3,3,3
Africa,182,186,183,196,203,213,213,226,229,230,231,230,227,244,248,250,250,252,256,253,259,258,268,267,275,269,266,275,276
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,175,178,174,188,196,206,206,220,223,224,224,224,220,239,243,245,245,248,252,249,255,253,259,256,261,255,255,256,257
Middle-East,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
Iran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
