Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,10135,10425,10514,10712,10990,11348,11704,11977,12259,12609,13172,13384,13827,14381,15027,15661,16314,17106,17430,17355,18550,19143,19598,20225,20619,20942,21615,22189,22964
OECD,6636,6865,6922,7068,7282,7493,7699,7846,8031,8240,8562,8609,8783,8924,9130,9330,9414,9637,9629,9275,9696,9655,9625,9678,9624,9655,9787,9836,9992
G7,5219,5424,5456,5567,5718,5864,6019,6094,6232,6373,6581,6561,6683,6751,6870,7005,7019,7163,7115,6821,7114,7032,6964,7025,6964,6941,6990,6996,7100
BRICS,2023,2078,2104,2152,2199,2296,2392,2461,2499,2593,2742,2827,3016,3311,3633,3951,4384,4852,5088,5326,5877,6401,6742,7197,7521,7732,8137,8544,9072
Europe,2516,2537,2532,2525,2559,2632,2716,2759,2817,2862,2952,3022,3057,3130,3205,3264,3315,3354,3386,3228,3376,3327,3338,3318,3254,3310,3359,3396,3411
European Union,2272,2292,2284,2279,2309,2370,2444,2478,2522,2561,2637,2702,2733,2801,2859,2901,2941,2961,2975,2828,2949,2889,2888,2863,2796,2837,2870,2887,2895
Belgium,59,62,64,65,68,70,71,73,76,76,79,80,80,82,84,84,86,86,86,80,86,84,84,84,83,83,83,84,84
Czech Republic,53,50,48,48,49,52,54,53,52,51,52,54,54,55,56,58,59,60,60,57,56,56,56,55,55,57,58,59,59
France,323,347,356,356,363,368,384,382,393,401,410,421,419,437,449,451,446,448,461,448,472,438,452,457,431,441,449,447,441
Germany,481,481,476,467,465,473,480,483,487,491,501,513,526,531,538,539,544,545,543,514,547,541,540,537,526,528,530,532,529
Italy,219,224,228,229,237,243,246,254,261,267,279,285,291,300,304,310,318,319,319,300,310,314,307,297,291,297,296,302,303
Netherlands,74,76,78,79,83,84,87,90,94,96,99,101,102,104,106,108,110,112,113,109,112,113,108,110,107,108,111,111,116
Poland,109,103,98,99,100,104,107,109,109,107,109,109,108,111,115,116,121,125,127,122,129,132,133,134,136,139,144,146,150
Portugal,24,25,26,26,27,29,31,32,34,37,39,41,42,44,45,47,49,50,49,49,51,49,47,46,46,47,47,48,49
Romania,60,51,47,43,41,43,46,47,44,39,41,42,42,44,45,47,47,47,48,43,46,47,47,45,46,47,47,49,50
Spain,129,132,134,134,140,146,152,163,170,182,195,207,212,224,237,248,254,258,261,247,250,249,246,235,233,239,240,243,243
Sweden,131,132,130,131,130,132,132,132,133,133,135,139,137,135,135,135,135,136,133,128,137,129,132,129,127,130,133,133,134
United Kingdom,284,291,291,296,292,304,320,321,325,332,340,343,344,347,348,357,354,351,350,330,338,326,325,324,311,311,311,307,307
Norway,98,100,100,102,103,105,104,105,110,110,111,114,110,105,110,114,111,115,117,113,120,115,118,119,117,120,122,124,126
Turkey,47,49,54,59,61,67,74,82,88,91,98,97,103,112,121,130,143,155,162,157,172,186,195,198,207,217,231,248,252
CIS,1417,1388,1289,1186,1066,1051,1010,984,959,975,1000,1011,1012,1047,1075,1086,1138,1165,1192,1135,1203,1223,1247,1243,1242,1228,1251,1277,1301
