Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,11882,12160,12271,12560,12867,13309,13737,14027,14388,14795,15495,15611,16221,16816,17586,18347,19057,19886,20268,20186,21538,22233,22735,23426,23896,24333,25040,25691,26590
OECD,7700,7886,7962,8146,8375,8627,8872,8995,9218,9422,9811,9693,9973,10088,10337,10590,10668,10863,10878,10479,10946,10895,10882,10904,10862,10915,11001,11051,11230
G7,6077,6222,6263,6401,6563,6741,6926,6967,7116,7243,7499,7308,7542,7601,7755,7927,7953,8044,8017,7659,7997,7896,7835,7900,7864,7871,7882,7877,8037
BRICS,2386,2468,2510,2583,2637,2754,2863,2961,3026,3170,3363,3499,3722,4076,4451,4817,5309,5829,6079,6340,7002,7637,8000,8525,8881,9131,9618,10097,10715
Europe,2900,2937,2926,2931,2976,3071,3164,3199,3280,3327,3438,3504,3539,3621,3705,3763,3813,3858,3884,3708,3866,3814,3842,3814,3744,3803,3844,3894,3883
European Union,2595,2640,2624,2626,2667,2744,2846,2857,2923,2955,3036,3119,3144,3235,3303,3326,3371,3384,3387,3222,3367,3301,3296,3271,3191,3235,3258,3293,3278
Belgium,71,72,72,71,72,74,76,79,83,85,84,80,82,85,86,87,86,89,85,91,95,90,83,83,73,70,86,86,74
Czech Republic,63,61,59,59,59,61,64,65,65,65,73,75,76,83,84,83,84,88,84,82,86,87,87,87,86,84,83,87,88
France,421,456,464,473,477,494,513,505,511,526,540,550,559,567,574,576,575,570,574,536,569,565,564,574,564,570,556,554,571
Germany,550,540,537,526,529,537,555,552,556,556,577,586,587,609,617,623,639,641,640,596,633,613,630,639,628,647,649,655,647
Italy,217,222,226,223,232,241,244,251,260,266,277,279,285,294,303,304,314,314,319,293,302,303,299,290,280,283,290,296,291
Netherlands,72,74,77,77,80,81,85,87,91,87,90,94,96,97,101,100,99,105,108,114,119,114,103,102,103,110,115,116,117
Poland,136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,165,159,165,167,170,170
Portugal,29,30,30,31,31,33,35,34,39,43,44,47,46,47,45,47,49,47,46,50,54,52,47,52,53,52,60,59,60
Romania,64,57,54,55,55,59,61,57,53,51,52,54,55,55,56,59,63,62,65,58,61,62,59,59,66,66,65,64,65
Spain,152,156,159,157,162,167,174,190,195,208,224,236,245,261,280,294,299,305,314,295,302,294,298,286,279,281,275,275,274
Sweden,147,147,146,146,143,148,141,149,159,155,145,162,147,135,152,158,143,149,150,137,149,150,167,153,154,162,156,164,163
United Kingdom,320,323,321,323,326,334,351,351,363,368,377,385,387,398,394,398,397,397,389,377,382,368,364,358,338,339,339,339,334
Norway,122,111,118,120,113,123,105,112,117,123,143,122,131,107,111,138,122,137,142,132,124,128,148,134,142,145,150,150,148
Turkey,58,60,67,74,78,86,95,103,111,116,125,123,129,141,151,162,176,192,198,195,211,229,239,240,252,262,274,297,303
CIS,1676,1635,1529,1436,1309,1270,1237,1211,1193,1214,1250,1270,1274,1318,1346,1374,1433,1458,1483,1407,1483,1513,1542,1538,1542,1531,1557,1583,1612
Kazakhstan,87,86,83,77,66,67,59,52,49,47,51,57,58,64,67,68,72,77,80,79,83,87,93,103,105,106,107,116,120
Russia,1082,1068,1008,957,876,860,847,834,827,846,878,891,891,916,932,953,996,1015,1040,992,1038,1055,1071,1059,1064,1068,1091,1110,1128
Ukraine,299,279,253,230,203,194,183,178,173,172,171,173,174,180,182,186,193,196,193,174,189,195,199,194,183,164,165,157,159
Uzbekistan,56,54,51,49,48,47,45,46,46,45,47,48,49,49,50,49,51,49,49,50,52,52,53,54,55,57,58,60,62
America,4306,4425,4471,4637,4761,4912,5057,5127,5293,5410,5641,5431,5657,5732,5883,6072,6114,6235,6306,6108,6358,6428,6420,6499,6558,6567,6589,6556,6703
North America,3701,3784,3811,3944,4029,4142,4250,4271,4392,4477,4658,4455,4652,4671,4775,4915,4912,4979,5000,4798,4983,4983,4925,4966,5002,4985,4989,4948,5092
Canada,482,509,520,532,556,560,573,574,562,579,606,590,601,590,600,621,611,629,632,610,604,634,634,659,662,668,667,671,663
United States,3219,3276,3291,3411,3473,3582,3677,3698,3830,3898,4053,3865,4051,4082,4175,4294,4301,4350,4368,4188,4378,4349,4291,4306,4340,4317,4322,4277,4429
Latin America,605,641,660,693,732,770,807,855,900,933,982,975,1005,1061,1108,1157,1202,1256,1305,1310,1375,1445,1496,1533,1556,1582,1599,1608,1611
Argentina,51,54,56,62,65,67,70,72,74,81,89,90,84,92,100,106,107,108,122,122,126,130,136,139,139,145,147,147,148
Brazil,223,234,242,252,260,276,291,308,322,335,349,329,346,364,387,403,419,445,463,466,516,532,553,571,591,582,579,588,596
Chile,18,20,22,24,25,28,31,33,36,38,40,43,44,47,51,52,55,59,60,61,60,66,70,73,71,75,79,79,81
Colombia,36,37,33,39,41,43,43,45,45,43,43,43,45,47,50,50,54,55,56,57,59,61,62,74,71,78,77,78,80
Mexico,116,129,133,136,147,152,158,167,182,192,206,214,218,236,238,251,258,265,269,268,276,303,307,297,301,311,320,313,320
Venezuela,59,63,67,69,71,73,76,78,81,81,85,90,92,92,99,105,110,114,119,120,114,118,122,123,126,123,113,119,100
Asia,2247,2398,2541,2706,2934,3134,3310,3476,3556,3732,3995,4177,4454,4803,5234,5651,6137,6696,6894,7218,7963,8560,8947,9542,9926,10224,10787,11322,12009
China,621,678,754,838,928,1008,1080,1136,1168,1240,1356,1481,1654,1911,2204,2500,2866,3282,3467,3715,4208,4716,4994,5447,5679,5860,6218,6585,7092
India,293,319,337,361,391,424,443,473,504,546,570,588,611,651,684,716,774,824,850,917,980,1073,1125,1192,1294,1373,1478,1559,1643
Indonesia,33,37,42,45,51,59,68,75,78,86,93,101,108,113,120,128,133,142,149,157,170,183,200,216,228,234,249,255,268
Japan,870,898,903,912,970,992,1012,1037,1033,1051,1070,1053,1071,1062,1091,1112,1115,1144,1094,1060,1127,1064,1052,1073,1053,1047,1058,1085,1102
Malaysia,23,27,29,35,39,45,51,58,61,65,69,71,74,78,82,83,90,98,98,116,125,129,134,138,147,150,157,160,166
South Korea,105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,542,551,553,563,576,593
Taiwan,90,99,106,115,125,133,142,150,163,169,185,189,199,209,218,227,235,243,238,230,247,252,250,252,260,258,264,270,274
Thailand,44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,167,170,172,177,191,188,189
Pacific,190,193,195,200,204,212,217,222,236,245,253,268,272,266,275,276,281,291,292,296,302,303,300,298,296,301,305,306,308
Australia,155,157,160,164,167,173,178,183,195,204,210,225,228,221,228,229,233,243,243,248,253,254,251,249,247,251,257,257,259
New Zealand,32,33,33,34,35,36,36,37,38,38,39,40,40,41,43,43,43,44,44,43,45,44,44,43,43,44,43,44,44
Africa,319,326,329,341,353,364,386,403,409,422,446,462,490,512,544,564,590,616,624,629,675,698,726,747,773,796,812,836,855
Algeria,17,19,19,21,21,21,22,23,25,27,28,29,30,32,33,36,38,40,43,41,48,56,62,65,71,75,78,83,87
Egypt,42,44,46,48,49,52,55,58,63,68,78,83,89,95,101,109,115,125,131,139,147,157,165,168,175,186,194,200,207
Nigeria,13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,29,30,31,31,31,33
South Africa,167,168,168,175,182,187,202,210,205,203,211,210,221,234,245,245,254,263,258,250,260,263,258,256,253,250,253,255,256
Middle-East,244,246,280,309,330,346,366,390,421,445,472,500,534,564,599,646,690,732,786,818,892,916,958,989,1057,1112,1147,1194,1219
Iran,59,64,69,76,82,85,91,98,103,113,121,130,141,154,167,178,193,204,215,221,233,240,254,262,275,281,289,308,311
Kuwait,18,11,17,20,23,24,25,27,30,32,32,34,36,40,41,44,48,49,52,53,57,57,63,61,65,68,70,73,75
Saudi Arabia,69,74,82,91,94,98,101,108,115,119,126,134,142,153,160,176,181,191,204,217,240,250,272,284,312,338,345,350,351
United Arab Emirates,17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,76,86,91,98,99,103,106,117,127,130,135,137
