Natural gas domestic consumption (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
World,2056,2111,2105,2139,2144,2197,2286,2323,2349,2428,2508,2530,2613,2704,2790,2864,2933,3057,3148,3070,3322,3381,3453,3491,3507,3549,3631,3765,3954,5.0,2.6
OECD,1035,1064,1084,1130,1156,1213,1280,1312,1317,1355,1406,1388,1427,1440,1466,1477,1482,1541,1562,1514,1621,1613,1646,1658,1629,1655,1708,1731,1819,5.1,1.4
G7,862,884,900,940,962,1006,1053,1076,1070,1097,1137,1106,1131,1126,1132,1133,1126,1172,1180,1144,1213,1212,1245,1257,1244,1264,1302,1307,1390,6.4,1.1
BRICS,506,522,500,488,456,439,436,426,432,444,455,466,473,499,519,533,556,582,598,597,666,702,710,725,743,730,740,814,878,7.9,3.7
Europe,380,395,387,397,400,427,470,466,476,495,507,519,521,544,559,575,572,573,586,550,597,550,536,528,483,498,526,550,538,-2.3,0.3
European Union,369,383,373,383,386,411,453,447,455,472,483,493,494,512,525,536,530,524,538,504,545,493,479,470,422,437,467,485,477,-1.7,-0.1
Belgium,10,10,11,11,11,13,14,14,15,16,16,16,17,18,18,18,18,18,18,18,21,18,18,18,16,17,18,18,18,2.6,0.7
Czech Republic,7,6,7,7,7,8,9,9,9,10,9,10,10,10,10,9,9,9,9,8,9,8,8,8,8,8,8,9,8,-5.2,-0.6
France,28,32,32,33,33,33,37,37,37,39,40,42,42,44,46,47,45,45,46,45,48,42,43,44,37,40,43,44,41,-4.7,0.1
Germany,70,73,72,75,78,83,92,88,88,89,88,92,91,89,90,91,93,89,92,86,94,86,86,88,79,81,89,94,93,-1.7,0.3
Italy,47,50,50,51,49,54,56,58,62,68,71,71,70,78,81,86,84,85,85,78,83,78,75,70,62,68,71,75,73,-3.3,0.1
Netherlands,44,49,48,49,48,49,54,51,50,49,49,50,50,50,51,50,48,47,49,50,56,49,47,46,41,40,42,43,42,-0.8,-0.8
